PaymentID,LoanID,PaymentDate,PaymentDueDate,AmountDue,AmountPaid,PaymentStatus,DaysLate
LP00000093,L0000034,2026-05-30,2026-06-01,8104.45,8104.45,On Time,0
LP00000094,L0000034,2026-05-02,2026-05-02,8104.45,8104.45,On Time,0
LP00000095,L0000035,2026-06-30,2026-07-01,5790.02,5790.02,On Time,0
LP00000096,L0000035,2026-05-31,2026-06-01,5790.02,5790.02,On Time,0
LP00000097,L0000035,2026-05-02,2026-05-02,5790.02,5790.02,On Time,0
LP00000098,L0000036,2026-06-27,2026-07-01,15441.51,15441.51,On Time,0
LP00000099,L0000036,2026-05-30,2026-06-01,15441.51,15441.51,On Time,0
LP00000100,L0000036,2026-05-30,2026-05-02,15441.51,0,Missed,60
LP00000101,L0000037,2026-06-30,2026-07-01,3197.5,3197.5,On Time,0
LP00000102,L0000037,2026-05-28,2026-06-01,3197.5,3197.5,On Time,0
LP00000103,L0000037,2026-04-30,2026-05-02,3197.5,3197.5,On Time,0
LP00000104,L0000038,2026-06-30,2026-07-01,10874.24,10874.24,On Time,0
LP00000105,L0000038,2026-06-04,2026-06-01,10874.24,10874.24,Late,3
LP00000106,L0000038,2026-04-28,2026-05-02,10874.24,10874.24,On Time,0
LP00000107,L0000039,2026-06-29,2026-07-01,21558.96,21558.96,On Time,0
LP00000108,L0000039,2026-05-28,2026-06-01,21558.96,21558.96,On Time,0
LP00000109,L0000040,2026-06-29,2026-07-01,7367.71,7367.71,On Time,0
LP00000110,L0000040,2026-06-01,2026-06-01,7367.71,7367.71,On Time,0
LP00000111,L0000040,2026-05-01,2026-05-02,7367.71,7367.71,On Time,0
LP00000112,L0000041,2026-06-28,2026-07-01,8040.55,8040.55,On Time,0
LP00000113,L0000041,2026-05-28,2026-06-01,8040.55,8040.55,On Time,0
LP00000114,L0000041,2026-04-30,2026-05-02,8040.55,8040.55,On Time,0
LP00000115,L0000042,2026-07-18,2026-07-01,38657.84,38657.84,Late,17
LP00000116,L0000042,2026-05-30,2026-06-01,38657.84,38657.84,On Time,0
LP00000117,L0000042,2026-05-30,2026-05-02,38657.84,0,Missed,60
LP00000118,L0000043,2026-06-29,2026-07-01,10756.66,10756.66,On Time,0
LP00000119,L0000044,2026-06-27,2026-07-01,7334.09,7334.09,On Time,0
LP00000120,L0000044,2026-05-29,2026-06-01,7334.09,7334.09,On Time,0
LP00000121,L0000044,2026-05-02,2026-05-02,7334.09,7334.09,On Time,0
LP00000122,L0000045,2026-07-01,2026-07-01,13209.63,13209.63,On Time,0
LP00000123,L0000046,2026-07-09,2026-07-01,9689.1,6180.13,Partial,8
LP00000124,L0000047,2026-06-30,2026-07-01,36030.65,36030.65,On Time,0
LP00000125,L0000047,2026-05-31,2026-06-01,36030.65,36030.65,On Time,0
LP00000126,L0000047,2026-05-22,2026-05-02,36030.65,19611.54,Partial,20
LP00000127,L0000048,2026-06-27,2026-07-01,10706.94,10706.94,On Time,0
LP00000128,L0000048,2026-06-29,2026-06-01,10706.94,0,Missed,60
LP00000129,L0000048,2026-05-30,2026-05-02,10706.94,0,Missed,60
LP00000130,L0000049,2026-06-29,2026-07-01,3564.82,3564.82,On Time,0
LP00000131,L0000049,2026-06-29,2026-06-01,3564.82,0,Missed,45
LP00000132,L0000049,2026-05-06,2026-05-02,3564.82,3564.82,Late,4
LP00000133,L0000050,2026-06-28,2026-07-01,18437.25,18437.25,On Time,0
LP00000134,L0000050,2026-06-01,2026-06-01,18437.25,18437.25,On Time,0
LP00000135,L0000050,2026-04-30,2026-05-02,18437.25,18437.25,On Time,0
LP00000136,L0000051,2026-07-01,2026-07-01,11189.72,11189.72,On Time,0
LP00000137,L0000051,2026-05-29,2026-06-01,11189.72,11189.72,On Time,0
LP00000138,L0000051,2026-04-29,2026-05-02,11189.72,11189.72,On Time,0
LP00000139,L0000052,2026-06-27,2026-07-01,49741.81,49741.81,On Time,0
LP00000140,L0000052,2026-05-31,2026-06-01,49741.81,49741.81,On Time,0
LP00000141,L0000052,2026-04-30,2026-05-02,49741.81,49741.81,On Time,0
LP00000142,L0000053,2026-07-08,2026-07-01,9321.47,7828.69,Partial,7
LP00000143,L0000053,2026-06-29,2026-06-01,9321.47,0,Missed,30
LP00000144,L0000054,2026-07-01,2026-07-01,18623.45,18623.45,On Time,0
LP00000145,L0000054,2026-05-30,2026-06-01,18623.45,18623.45,On Time,0
LP00000146,L0000054,2026-04-28,2026-05-02,18623.45,18623.45,On Time,0
LP00000147,L0000055,2026-06-28,2026-07-01,26000.79,26000.79,On Time,0
LP00000148,L0000055,2026-05-29,2026-06-01,26000.79,26000.79,On Time,0
LP00000149,L0000055,2026-04-29,2026-05-02,26000.79,26000.79,On Time,0
LP00000150,L0000056,2026-06-27,2026-07-01,7992.04,7992.04,On Time,0
LP00000151,L0000056,2026-06-17,2026-06-01,7992.04,7992.04,Late,16
LP00000152,L0000056,2026-04-30,2026-05-02,7992.04,7992.04,On Time,0
LP00000153,L0000057,2026-06-30,2026-07-01,25296.73,25296.73,On Time,0
LP00000154,L0000057,2026-05-28,2026-06-01,25296.73,25296.73,On Time,0
LP00000155,L0000057,2026-05-02,2026-05-02,25296.73,25296.73,On Time,0
LP00000156,L0000058,2026-07-29,2026-07-01,6792.03,0,Missed,60
LP00000157,L0000058,2026-06-14,2026-06-01,6792.03,5103.15,Partial,13
LP00000158,L0000059,2026-06-30,2026-07-01,9361.66,9361.66,On Time,0
LP00000159,L0000060,2026-06-27,2026-07-01,4106.78,4106.78,On Time,0
LP00000160,L0000061,2026-06-30,2026-07-01,7391.72,7391.72,On Time,0
LP00000161,L0000061,2026-05-30,2026-06-01,7391.72,7391.72,On Time,0
LP00000162,L0000061,2026-05-02,2026-05-02,7391.72,7391.72,On Time,0
LP00000163,L0000062,2026-06-28,2026-07-01,2375.68,2375.68,On Time,0
LP00000164,L0000062,2026-05-30,2026-06-01,2375.68,2375.68,On Time,0
LP00000165,L0000062,2026-04-29,2026-05-02,2375.68,2375.68,On Time,0
LP00000166,L0000063,2026-07-21,2026-07-01,9539.4,7371.44,Partial,20
LP00000167,L0000063,2026-06-18,2026-06-01,9539.4,9539.4,Late,17
LP00000168,L0000063,2026-04-28,2026-05-02,9539.4,9539.4,On Time,0
LP00000169,L0000064,2026-06-29,2026-07-01,27780.43,27780.43,On Time,0
LP00000170,L0000064,2026-05-29,2026-06-01,27780.43,27780.43,On Time,0
LP00000171,L0000064,2026-04-30,2026-05-02,27780.43,27780.43,On Time,0
LP00000172,L0000065,2026-06-27,2026-07-01,3310.26,3310.26,On Time,0
LP00000173,L0000065,2026-05-31,2026-06-01,3310.26,3310.26,On Time,0
LP00000174,L0000065,2026-05-30,2026-05-02,3310.26,0,Missed,45
LP00000175,L0000066,2026-06-28,2026-07-01,9619.46,9619.46,On Time,0
LP00000176,L0000066,2026-05-30,2026-06-01,9619.46,9619.46,On Time,0
LP00000177,L0000066,2026-04-30,2026-05-02,9619.46,9619.46,On Time,0
LP00000178,L0000067,2026-07-01,2026-07-01,2297.38,2297.38,On Time,0
LP00000179,L0000067,2026-05-31,2026-06-01,2297.38,2297.38,On Time,0
LP00000180,L0000067,2026-05-02,2026-05-02,2297.38,2297.38,On Time,0
LP00000181,L0000068,2026-07-01,2026-07-01,28151.83,28151.83,On Time,0
LP00000182,L0000068,2026-06-01,2026-06-01,28151.83,28151.83,On Time,0
LP00000183,L0000068,2026-05-01,2026-05-02,28151.83,28151.83,On Time,0
LP00000184,L0000069,2026-06-29,2026-07-01,9501.48,9501.48,On Time,0
LP00000185,L0000069,2026-06-29,2026-06-01,9501.48,0,Missed,60
LP00000186,L0000069,2026-04-28,2026-05-02,9501.48,9501.48,On Time,0
LP00000187,L0000070,2026-06-28,2026-07-01,34525.88,34525.88,On Time,0
LP00000188,L0000070,2026-06-01,2026-06-01,34525.88,34525.88,On Time,0
LP00000189,L0000070,2026-05-02,2026-05-02,34525.88,34525.88,On Time,0
LP00000190,L0000071,2026-06-29,2026-07-01,2815.74,2815.74,On Time,0
LP00000191,L0000072,2026-07-12,2026-07-01,17574.95,17574.95,Late,11
LP00000192,L0000072,2026-05-29,2026-06-01,17574.95,17574.95,On Time,0
LP00000193,L0000072,2026-05-02,2026-05-02,17574.95,17574.95,On Time,0
LP00000194,L0000073,2026-07-17,2026-07-01,30337.78,16412.15,Partial,16
LP00000195,L0000073,2026-05-29,2026-06-01,30337.78,30337.78,On Time,0
LP00000196,L0000073,2026-04-30,2026-05-02,30337.78,30337.78,On Time,0
LP00000197,L0000074,2026-06-30,2026-07-01,13456.7,13456.7,On Time,0
LP00000198,L0000074,2026-06-19,2026-06-01,13456.7,13456.7,Late,18
LP00000199,L0000074,2026-05-10,2026-05-02,13456.7,13456.7,Late,8
LP00000200,L0000075,2026-06-29,2026-07-01,12964.72,12964.72,On Time,0
LP00000201,L0000075,2026-06-01,2026-06-01,12964.72,12964.72,On Time,0
LP00000202,L0000076,2026-06-28,2026-07-01,25928.05,25928.05,On Time,0
LP00000203,L0000076,2026-06-17,2026-06-01,25928.05,25928.05,Late,16
LP00000204,L0000076,2026-05-14,2026-05-02,25928.05,25928.05,Late,12
LP00000205,L0000077,2026-06-28,2026-07-01,18579.93,18579.93,On Time,0
LP00000206,L0000077,2026-06-01,2026-06-01,18579.93,18579.93,On Time,0
LP00000207,L0000077,2026-05-02,2026-05-02,18579.93,18579.93,On Time,0
LP00000208,L0000078,2026-07-01,2026-07-01,7272.53,7272.53,On Time,0
LP00000209,L0000078,2026-06-01,2026-06-01,7272.53,7272.53,On Time,0
LP00000210,L0000078,2026-04-30,2026-05-02,7272.53,7272.53,On Time,0
LP00000211,L0000079,2026-06-28,2026-07-01,11298.63,11298.63,On Time,0
LP00000212,L0000079,2026-05-29,2026-06-01,11298.63,11298.63,On Time,0
LP00000213,L0000079,2026-04-29,2026-05-02,11298.63,11298.63,On Time,0
LP00000214,L0000080,2026-07-01,2026-07-01,12003.71,12003.71,On Time,0
LP00000215,L0000080,2026-05-30,2026-06-01,12003.71,12003.71,On Time,0
LP00000216,L0000080,2026-04-30,2026-05-02,12003.71,12003.71,On Time,0
LP00000217,L0000081,2026-06-28,2026-07-01,6010.73,6010.73,On Time,0
LP00000218,L0000081,2026-05-30,2026-06-01,6010.73,6010.73,On Time,0
LP00000219,L0000081,2026-04-28,2026-05-02,6010.73,6010.73,On Time,0
LP00000220,L0000082,2026-06-28,2026-07-01,21671.4,21671.4,On Time,0
LP00000221,L0000082,2026-06-01,2026-06-01,21671.4,21671.4,On Time,0
LP00000222,L0000082,2026-04-28,2026-05-02,21671.4,21671.4,On Time,0
LP00000223,L0000083,2026-06-30,2026-07-01,15562.33,15562.33,On Time,0
LP00000224,L0000083,2026-05-28,2026-06-01,15562.33,15562.33,On Time,0
LP00000225,L0000083,2026-05-16,2026-05-02,15562.33,15562.33,Late,14
LP00000226,L0000084,2026-07-07,2026-07-01,10636.51,10636.51,Late,6
LP00000227,L0000084,2026-05-28,2026-06-01,10636.51,10636.51,On Time,0
LP00000228,L0000084,2026-04-30,2026-05-02,10636.51,10636.51,On Time,0
LP00000229,L0000085,2026-06-30,2026-07-01,7368.58,7368.58,On Time,0
LP00000230,L0000085,2026-05-28,2026-06-01,7368.58,7368.58,On Time,0
LP00000231,L0000085,2026-05-01,2026-05-02,7368.58,7368.58,On Time,0
LP00000232,L0000086,2026-06-27,2026-07-01,16138.51,16138.51,On Time,0
LP00000233,L0000086,2026-06-17,2026-06-01,16138.51,16138.51,Late,16
LP00000234,L0000086,2026-05-01,2026-05-02,16138.51,16138.51,On Time,0
LP00000235,L0000087,2026-06-29,2026-07-01,4500.33,4500.33,On Time,0
LP00000236,L0000087,2026-05-31,2026-06-01,4500.33,4500.33,On Time,0
LP00000237,L0000088,2026-07-29,2026-07-01,34422.41,0,Missed,60
LP00000238,L0000088,2026-06-12,2026-06-01,34422.41,34422.41,Late,11
LP00000239,L0000088,2026-05-01,2026-05-02,34422.41,34422.41,On Time,0
LP00000240,L0000089,2026-06-30,2026-07-01,9040.06,9040.06,On Time,0
LP00000241,L0000089,2026-05-29,2026-06-01,9040.06,9040.06,On Time,0
LP00000242,L0000089,2026-05-01,2026-05-02,9040.06,9040.06,On Time,0
LP00000243,L0000090,2026-06-28,2026-07-01,1862.39,1862.39,On Time,0
LP00000244,L0000090,2026-05-30,2026-06-01,1862.39,1862.39,On Time,0
LP00000245,L0000090,2026-05-30,2026-05-02,1862.39,0,Missed,45
LP00000246,L0000091,2026-07-12,2026-07-01,7089.81,7089.81,Late,11
LP00000247,L0000091,2026-06-29,2026-06-01,7089.81,0,Missed,45
LP00000248,L0000091,2026-04-28,2026-05-02,7089.81,7089.81,On Time,0
LP00000249,L0000093,2026-06-30,2026-07-01,22270.43,22270.43,On Time,0
LP00000250,L0000093,2026-05-31,2026-06-01,22270.43,22270.43,On Time,0
LP00000251,L0000093,2026-04-29,2026-05-02,22270.43,22270.43,On Time,0
LP00000252,L0000094,2026-06-30,2026-07-01,23681.89,23681.89,On Time,0
LP00000253,L0000094,2026-05-29,2026-06-01,23681.89,23681.89,On Time,0
LP00000254,L0000094,2026-04-30,2026-05-02,23681.89,23681.89,On Time,0
LP00000255,L0000095,2026-06-28,2026-07-01,8369.83,8369.83,On Time,0
LP00000256,L0000095,2026-05-31,2026-06-01,8369.83,8369.83,On Time,0
LP00000257,L0000095,2026-05-02,2026-05-02,8369.83,8369.83,On Time,0
LP00000258,L0000096,2026-07-01,2026-07-01,7514.8,7514.8,On Time,0
LP00000259,L0000096,2026-05-29,2026-06-01,7514.8,7514.8,On Time,0
LP00000260,L0000096,2026-05-12,2026-05-02,7514.8,4985.73,Partial,10
LP00000261,L0000097,2026-06-28,2026-07-01,22462.59,22462.59,On Time,0
LP00000262,L0000097,2026-05-28,2026-06-01,22462.59,22462.59,On Time,0
LP00000263,L0000097,2026-05-10,2026-05-02,22462.59,22462.59,Late,8
LP00000264,L0000098,2026-06-28,2026-07-01,11359.39,11359.39,On Time,0
LP00000265,L0000098,2026-05-29,2026-06-01,11359.39,11359.39,On Time,0
LP00000266,L0000098,2026-05-01,2026-05-02,11359.39,11359.39,On Time,0
LP00000267,L0000099,2026-06-27,2026-07-01,8056.73,8056.73,On Time,0
LP00000268,L0000099,2026-06-09,2026-06-01,8056.73,8056.73,Late,8
LP00000269,L0000099,2026-04-29,2026-05-02,8056.73,8056.73,On Time,0
LP00000270,L0000100,2026-07-29,2026-07-01,26716.23,0,Missed,60
LP00000271,L0000100,2026-05-30,2026-06-01,26716.23,26716.23,On Time,0
LP00000272,L0000100,2026-04-30,2026-05-02,26716.23,26716.23,On Time,0
LP00000273,L0000101,2026-06-27,2026-07-01,18078.57,18078.57,On Time,0
LP00000274,L0000101,2026-06-21,2026-06-01,18078.57,18078.57,Late,20
LP00000275,L0000101,2026-05-02,2026-05-02,18078.57,18078.57,On Time,0
LP00000276,L0000103,2026-06-29,2026-07-01,28158.93,28158.93,On Time,0
LP00000277,L0000103,2026-06-01,2026-06-01,28158.93,28158.93,On Time,0
LP00000278,L0000103,2026-04-29,2026-05-02,28158.93,28158.93,On Time,0
LP00000279,L0000104,2026-06-30,2026-07-01,5131.66,5131.66,On Time,0
LP00000280,L0000104,2026-05-30,2026-06-01,5131.66,5131.66,On Time,0
LP00000281,L0000104,2026-04-28,2026-05-02,5131.66,5131.66,On Time,0
LP00000282,L0000105,2026-07-03,2026-07-01,10892.0,9143.17,Partial,2
LP00000283,L0000105,2026-05-30,2026-06-01,10892.0,10892.0,On Time,0
LP00000284,L0000105,2026-04-29,2026-05-02,10892.0,10892.0,On Time,0
LP00000285,L0000106,2026-06-30,2026-07-01,18849.15,18849.15,On Time,0
LP00000286,L0000106,2026-05-30,2026-06-01,18849.15,18849.15,On Time,0
LP00000287,L0000106,2026-04-29,2026-05-02,18849.15,18849.15,On Time,0
LP00000288,L0000107,2026-06-28,2026-07-01,6080.89,6080.89,On Time,0
LP00000289,L0000107,2026-06-29,2026-06-01,6080.89,0,Missed,45
LP00000290,L0000108,2026-07-01,2026-07-01,19149.94,19149.94,On Time,0
LP00000291,L0000108,2026-05-28,2026-06-01,19149.94,19149.94,On Time,0
LP00000292,L0000108,2026-05-30,2026-05-02,19149.94,0,Missed,30
LP00000293,L0000109,2026-07-01,2026-07-01,21890.09,21890.09,On Time,0
LP00000294,L0000109,2026-06-01,2026-06-01,21890.09,21890.09,On Time,0
LP00000295,L0000109,2026-04-29,2026-05-02,21890.09,21890.09,On Time,0
LP00000296,L0000110,2026-06-28,2026-07-01,25098.2,25098.2,On Time,0
LP00000297,L0000110,2026-05-30,2026-06-01,25098.2,25098.2,On Time,0
LP00000298,L0000110,2026-04-29,2026-05-02,25098.2,25098.2,On Time,0
LP00000299,L0000111,2026-06-29,2026-07-01,452.66,452.66,On Time,0
LP00000300,L0000111,2026-06-11,2026-06-01,452.66,368.37,Partial,10
LP00000301,L0000111,2026-04-30,2026-05-02,452.66,452.66,On Time,0
LP00000302,L0000112,2026-06-28,2026-07-01,7987.19,7987.19,On Time,0
LP00000303,L0000112,2026-05-31,2026-06-01,7987.19,7987.19,On Time,0
LP00000304,L0000112,2026-04-30,2026-05-02,7987.19,7987.19,On Time,0
LP00000305,L0000113,2026-07-10,2026-07-01,12262.89,12262.89,Late,9
LP00000306,L0000113,2026-05-31,2026-06-01,12262.89,12262.89,On Time,0
LP00000307,L0000113,2026-05-02,2026-05-02,12262.89,12262.89,On Time,0
LP00000308,L0000114,2026-06-30,2026-07-01,6065.92,6065.92,On Time,0
LP00000309,L0000114,2026-05-31,2026-06-01,6065.92,6065.92,On Time,0
LP00000310,L0000114,2026-04-28,2026-05-02,6065.92,6065.92,On Time,0
LP00000311,L0000115,2026-06-28,2026-07-01,16464.51,16464.51,On Time,0
LP00000312,L0000115,2026-06-14,2026-06-01,16464.51,16464.51,Late,13
LP00000313,L0000116,2026-07-01,2026-07-01,10402.71,10402.71,On Time,0
LP00000314,L0000116,2026-05-30,2026-06-01,10402.71,10402.71,On Time,0
LP00000315,L0000116,2026-04-28,2026-05-02,10402.71,10402.71,On Time,0
LP00000316,L0000117,2026-07-01,2026-07-01,10707.37,10707.37,On Time,0
LP00000317,L0000117,2026-05-30,2026-06-01,10707.37,10707.37,On Time,0
LP00000318,L0000117,2026-05-11,2026-05-02,10707.37,7663.53,Partial,9
LP00000319,L0000118,2026-06-29,2026-07-01,8212.84,8212.84,On Time,0
LP00000320,L0000118,2026-05-31,2026-06-01,8212.84,8212.84,On Time,0
LP00000321,L0000119,2026-06-30,2026-07-01,25043.25,25043.25,On Time,0
LP00000322,L0000119,2026-05-31,2026-06-01,25043.25,25043.25,On Time,0
LP00000323,L0000119,2026-04-29,2026-05-02,25043.25,25043.25,On Time,0
LP00000324,L0000120,2026-07-29,2026-07-01,10712.55,0,Missed,45
LP00000325,L0000121,2026-07-01,2026-07-01,9001.79,9001.79,On Time,0
LP00000326,L0000121,2026-06-07,2026-06-01,9001.79,9001.79,Late,6
LP00000327,L0000121,2026-05-01,2026-05-02,9001.79,9001.79,On Time,0
LP00000328,L0000122,2026-06-29,2026-07-01,433.14,433.14,On Time,0
LP00000329,L0000122,2026-05-28,2026-06-01,433.14,433.14,On Time,0
LP00000330,L0000122,2026-05-02,2026-05-02,433.14,433.14,On Time,0
LP00000331,L0000123,2026-07-01,2026-07-01,10585.56,10585.56,On Time,0
LP00000332,L0000123,2026-06-29,2026-06-01,10585.56,0,Missed,45
LP00000333,L0000124,2026-06-28,2026-07-01,21432.64,21432.64,On Time,0
LP00000334,L0000125,2026-06-30,2026-07-01,5334.91,5334.91,On Time,0
LP00000335,L0000125,2026-05-28,2026-06-01,5334.91,5334.91,On Time,0
LP00000336,L0000125,2026-04-30,2026-05-02,5334.91,5334.91,On Time,0
LP00000337,L0000126,2026-07-08,2026-07-01,21445.74,21445.74,Late,7
LP00000338,L0000126,2026-06-01,2026-06-01,21445.74,21445.74,On Time,0
LP00000339,L0000126,2026-05-01,2026-05-02,21445.74,21445.74,On Time,0
LP00000340,L0000127,2026-07-01,2026-07-01,13882.65,13882.65,On Time,0
LP00000341,L0000127,2026-05-31,2026-06-01,13882.65,13882.65,On Time,0
