LoanID,CustomerID,BranchID,LoanType,ApplicationDate,ApprovalDate,PrincipalAmount,OutstandingBalance,InterestRate,LoanTermMonths,MonthlyPayment,LoanStatus,RiskRating,DaysPastDue
L0000049,C001985,B0023,Credit Facility,2025-12-27,2026-01-01,93851,79773.35,0.216,36,3564.82,Current,Medium,0
L0000050,C000793,B0011,Credit Facility,2025-06-29,2025-07-06,199238,19923.8,0.198,12,18437.25,Current,Low,0
L0000051,C000963,B0053,Personal Loan,2025-03-01,2025-03-05,289457,173674.2,0.229,36,11189.72,Current,Low,0
L0000052,C001016,B0035,Business Loan,2026-03-07,2026-03-17,1010964,859319.4,0.165,24,49741.81,Current,Low,0
L0000053,C001522,B0027,Personal Loan,2026-05-08,2026-05-11,175146,162010.05,0.247,24,9321.47,Current,Medium,0
L0000054,C001617,B0036,Home Loan,2025-12-03,2025-12-06,1774920,1728328.35,0.1125,240,18623.45,Current,Low,0
L0000055,C001879,B0019,Business Loan,2025-12-22,2026-01-01,1057608,962423.28,0.165,60,26000.79,Current,Low,0
L0000056,C000735,B0017,Personal Loan,2026-01-04,2026-01-07,249777,221677.09,0.229,48,7992.04,Current,Low,0
L0000057,C000819,B0052,Home Loan,2024-10-23,2024-10-28,2195240,1964739.8,0.1125,180,25296.73,Current,Low,0
L0000058,C001208,B0048,Personal Loan,2026-05-10,2026-05-12,129808,120072.4,0.229,24,6792.03,Current,Low,0
L0000059,C000676,B0006,Personal Loan,2026-06-16,2026-06-18,98649,91250.33,0.247,12,9361.66,Current,Medium,0
L0000060,C001553,B0031,Vehicle Finance,2026-06-05,2026-06-14,176891,174237.64,0.139,60,4106.78,Current,Low,0
L0000061,C000764,B0007,Vehicle Finance,2025-11-23,2025-11-23,270994,230344.9,0.139,48,7391.72,Current,Low,0
L0000062,C000242,B0032,Personal Loan,2026-03-02,2026-03-10,59990,53991.0,0.247,36,2375.68,Current,Medium,0
L0000063,C001055,B0042,Business Loan,2023-04-12,2023-04-19,253202,25320.2,0.21,36,9539.4,Current,High,0
L0000064,C000702,B0022,Home Loan,2025-07-24,2025-07-24,1996166,1816511.06,0.1125,120,27780.43,Current,Low,0
L0000065,C000794,B0010,Personal Loan,2024-03-30,2024-04-05,35205,3520.5,0.229,12,3310.26,Current,Low,0
L0000066,C000025,B0042,Personal Loan,2025-04-29,2025-05-08,300639,221721.26,0.229,48,9619.46,Current,Low,0
L0000067,C001418,B0025,Vehicle Finance,2026-01-11,2026-01-21,84226,74750.57,0.139,48,2297.38,Current,Low,0
L0000068,C000507,B0024,Business Loan,2025-10-15,2025-10-22,1145104,990514.96,0.165,60,28151.83,Current,Low,0
L0000069,C000801,B0051,Personal Loan,2024-07-24,2024-07-31,325664,208424.96,0.247,60,9501.48,Current,Medium,0
L0000070,C001980,B0029,Home Loan,2025-11-18,2025-11-23,2307790,2169322.6,0.1305,120,34525.88,Current,Medium,0
L0000071,C001243,B0016,Personal Loan,2026-06-13,2026-06-17,72838,71017.05,0.229,36,2815.74,Current,Low,0
L0000072,C000039,B0005,Personal Loan,2024-10-08,2024-10-10,185197,18519.7,0.247,12,17574.95,Current,Medium,0
L0000073,C001205,B0017,Home Loan,2025-10-30,2025-11-03,2391562,2295899.52,0.1305,180,30337.78,In Arrears,Medium,30
L0000074,C000055,B0057,Vehicle Finance,2026-01-11,2026-01-20,625108,578224.9,0.157,72,13456.7,Current,Medium,0
L0000075,C001184,B0037,Personal Loan,2026-05-10,2026-05-17,335373,318604.35,0.229,36,12964.72,Current,Low,0
L0000076,C000915,B0025,Business Loan,2025-01-08,2025-01-14,732340,402787.0,0.165,36,25928.05,Current,Low,0
L0000077,C000719,B0053,Vehicle Finance,2024-09-09,2024-09-15,681174,400189.73,0.139,48,18579.93,Current,Low,0
L0000078,C000897,B0053,Personal Loan,2025-02-25,2025-03-05,227290,159103.0,0.229,48,7272.53,Current,Low,0
L0000079,C001775,B0059,Vehicle Finance,2025-07-18,2025-07-23,549752,467289.2,0.139,72,11298.63,Current,Low,0
L0000080,C000675,B0025,Vehicle Finance,2022-11-17,2022-11-25,496864,168933.76,0.157,60,12003.71,Current,Medium,0
L0000081,C000774,B0041,Personal Loan,2026-04-18,2026-04-26,151781,140397.43,0.247,36,6010.73,Current,Medium,0
L0000082,C001623,B0057,Personal Loan,2024-04-07,2024-04-11,230478,23047.8,0.229,12,21671.4,Current,Low,0
L0000083,C000552,B0035,Personal Loan,2025-11-28,2025-12-08,292409,215651.64,0.247,24,15562.33,Current,Medium,0
L0000084,C000859,B0008,Vehicle Finance,2022-10-04,2022-10-13,494101,216169.19,0.157,72,10636.51,Current,Medium,0
L0000085,C000808,B0033,Credit Facility,2026-03-24,2026-04-01,198819,183907.58,0.198,36,7368.58,Current,Low,0
L0000086,C001209,B0058,Personal Loan,2024-02-04,2024-02-11,303235,30323.5,0.247,24,16138.51,Current,Medium,0
L0000087,C000154,B0019,Credit Facility,2026-05-03,2026-05-08,121428,115356.6,0.198,36,4500.33,Current,Low,0
L0000088,C001759,B0029,Home Loan,2025-06-16,2025-06-17,2371820,2217651.7,0.1575,180,34422.41,In Arrears,High,45
L0000089,C000458,B0048,Credit Facility,2024-08-20,2024-08-22,174921,24051.64,0.216,24,9040.06,Current,Medium,0
L0000090,C000328,B0005,Personal Loan,2025-05-28,2025-06-07,56453,42692.58,0.247,48,1862.39,In Arrears,Medium,45
L0000091,C000798,B0045,Personal Loan,2022-07-20,2022-07-25,205444,20544.4,0.274,48,7089.81,In Arrears,High,60
L0000092,C001118,B0057,Credit Facility,2026-06-26,2026-07-03,145830,145830.0,0.198,24,7407.89,Current,Low,0
L0000093,C000035,B0007,Home Loan,2025-12-04,2025-12-05,1600244,1516231.19,0.1125,120,22270.43,Current,Low,0
L0000094,C000658,B0051,Home Loan,2025-08-07,2025-08-13,2257017,2163915.05,0.1125,240,23681.89,Current,Low,0
L0000095,C001958,B0013,Vehicle Finance,2025-02-01,2025-02-11,360513,268582.18,0.139,60,8369.83,Current,Low,0
L0000096,C000779,B0030,Credit Facility,2024-07-22,2024-07-27,81207,8120.7,0.198,12,7514.8,Current,Low,0
L0000097,C001419,B0018,Business Loan,2026-01-15,2026-01-22,596219,506786.15,0.21,36,22462.59,Current,High,0
L0000098,C000379,B0005,Home Loan,2026-04-27,2026-04-28,759288,742204.02,0.1305,120,11359.39,Current,Medium,0
L0000099,C001929,B0017,Personal Loan,2022-03-10,2022-03-10,261796,57595.12,0.274,60,8056.73,Current,High,0
L0000100,C000654,B0039,Business Loan,2024-10-08,2024-10-09,735922,349562.95,0.183,36,26716.23,Current,Medium,0
L0000101,C001503,B0057,Home Loan,2024-12-05,2024-12-11,1538419,1428806.65,0.1305,240,18078.57,Current,Medium,0
L0000102,C000358,B0031,Personal Loan,2026-06-23,2026-07-03,141762,141762.0,0.229,12,13329.61,Current,Low,0
L0000103,C000694,B0004,Home Loan,2025-09-09,2025-09-09,2443621,2321439.95,0.1125,180,28158.93,Current,Low,0
L0000104,C000394,B0022,Home Loan,2025-06-17,2025-06-17,368736,332784.24,0.1125,120,5131.66,Current,Low,0
L0000105,C001695,B0054,Vehicle Finance,2023-10-04,2023-10-09,505969,297256.79,0.157,72,10892.0,Current,Medium,0
L0000106,C000787,B0020,Vehicle Finance,2026-03-20,2026-03-28,691044,639215.7,0.139,48,18849.15,Current,Low,0
L0000107,C001989,B0016,Personal Loan,2026-04-29,2026-05-06,64671,54970.35,0.229,12,6080.89,Current,Low,0
L0000108,C000435,B0008,Home Loan,2025-06-17,2025-06-24,1376021,1241858.95,0.1125,120,19149.94,In Arrears,Low,15
L0000109,C000524,B0019,Personal Loan,2025-06-04,2025-06-12,230668,23066.8,0.247,12,21890.09,Current,Medium,0
L0000110,C000035,B0046,Home Loan,2025-03-08,2025-03-13,2178012,2003771.04,0.1125,180,25098.2,Current,Low,0
L0000111,C001465,B0006,Personal Loan,2023-07-21,2023-07-31,14147,4597.77,0.229,48,452.66,Current,Low,0
L0000112,C001359,B0012,Personal Loan,2024-04-30,2024-05-03,201690,70591.5,0.247,36,7987.19,Current,Medium,0
L0000113,C000498,B0027,Vehicle Finance,2022-08-14,2022-08-23,507592,149739.64,0.157,60,12262.89,Current,Medium,0
L0000114,C001797,B0001,Credit Facility,2026-04-08,2026-04-17,65550,50801.25,0.198,12,6065.92,Current,Low,0
L0000115,C000938,B0056,Home Loan,2026-05-04,2026-05-12,1183059,1165313.11,0.1125,120,16464.51,Current,Low,0
L0000116,C001894,B0009,Personal Loan,2025-07-13,2025-07-14,325118,251966.45,0.229,48,10402.71,Current,Low,0
L0000117,C001257,B0053,Personal Loan,2024-11-03,2024-11-12,196166,49041.5,0.274,24,10707.37,Current,High,0
L0000118,C000597,B0059,Personal Loan,2026-05-22,2026-05-27,281496,273051.12,0.247,60,8212.84,In Arrears,Medium,60
L0000119,C001083,B0030,Personal Loan,2025-08-02,2025-08-06,266338,46609.15,0.229,12,25043.25,Current,Low,0
L0000120,C000318,B0023,Vehicle Finance,2026-06-27,2026-06-27,362101,355311.61,0.184,48,10712.55,In Arrears,High,30
L0000121,C000783,B0009,Personal Loan,2024-11-30,2024-11-30,319972,223980.4,0.229,60,9001.79,Current,Low,0
L0000122,C001585,B0036,Personal Loan,2025-11-30,2025-11-30,13537,11506.45,0.229,48,433.14,Current,Low,0
L0000123,C001228,B0020,Business Loan,2026-05-15,2026-05-23,370163,356281.89,0.165,48,10585.56,Current,Low,0
L0000124,C000305,B0044,Credit Facility,2026-06-30,2026-06-30,231607,214236.48,0.198,12,21432.64,Current,Low,0
L0000125,C000735,B0044,Personal Loan,2025-02-17,2025-02-26,138004,79352.3,0.229,36,5334.91,Current,Low,0
L0000126,C000249,B0012,Home Loan,2025-09-02,2025-09-07,1433483,1325971.78,0.1305,120,21445.74,Current,Medium,0
L0000127,C001955,B0026,Vehicle Finance,2024-05-24,2024-05-28,492522,252417.52,0.157,48,13882.65,Current,Medium,0
L0000128,C001200,B0048,Vehicle Finance,2025-02-21,2025-02-23,601705,448270.22,0.157,60,14536.56,Current,Medium,0
L0000129,C001839,B0029,Personal Loan,2024-07-30,2024-08-04,48291,20523.68,0.247,36,1912.39,Current,Medium,0
L0000130,C000002,B0005,Vehicle Finance,2026-04-11,2026-04-13,277975,267550.94,0.139,72,5713.01,Current,Low,0
L0000131,C001319,B0018,Personal Loan,2025-09-22,2025-09-22,71763,44851.88,0.229,24,3754.9,Current,Low,0
L0000132,C001398,B0028,Home Loan,2025-03-20,2025-03-25,482567,453612.98,0.1305,240,5670.84,Current,Medium,0
L0000133,C001173,B0007,Vehicle Finance,2025-10-17,2025-10-19,246085,218400.44,0.139,72,5057.6,Current,Low,0
L0000134,C001566,B0044,Personal Loan,2025-07-23,2025-08-02,264808,221114.68,0.247,60,7725.96,Current,Medium,0
L0000135,C001893,B0045,Personal Loan,2024-02-17,2024-02-21,43910,20033.94,0.247,48,1448.59,Current,Medium,0
L0000136,C001284,B0031,Personal Loan,2023-03-10,2023-03-13,348355,34835.5,0.274,36,14296.53,Current,High,0
L0000137,C001606,B0020,Credit Facility,2025-02-24,2025-03-05,65872,6587.2,0.243,12,6238.4,In Arrears,High,60
L0000138,C000934,B0051,Credit Facility,2024-01-16,2024-01-21,239125,59781.25,0.216,36,9082.88,Current,Medium,0
L0000139,C000929,B0029,Personal Loan,2026-03-25,2026-04-02,91111,84277.68,0.229,36,3522.13,Current,Low,0
L0000140,C000274,B0057,Business Loan,2024-08-01,2024-08-09,198954,84555.45,0.165,36,7043.84,Current,Low,0
L0000141,C001783,B0017,Personal Loan,2026-05-17,2026-05-19,320869,296803.83,0.247,24,17077.01,Current,Medium,0
L0000142,C001229,B0027,Vehicle Finance,2025-08-16,2025-08-26,547856,457459.76,0.139,60,12719.27,Current,Low,0
L0000143,C000493,B0053,Personal Loan,2025-11-22,2025-11-24,155599,108919.3,0.229,24,8141.51,Current,Low,0
L0000144,C001635,B0001,Personal Loan,2024-07-15,2024-07-18,176360,112870.4,0.274,60,5427.45,Current,High,0
L0000145,C001914,B0025,Personal Loan,2025-02-18,2025-02-21,116375,66915.62,0.247,36,4608.6,Current,Medium,0
L0000146,C000914,B0017,Personal Loan,2025-11-06,2025-11-16,230506,161354.2,0.247,24,12267.79,Current,Medium,0
L0000147,C000663,B0052,Credit Facility,2025-08-06,2025-08-12,78936,13813.8,0.243,12,7475.62,Current,High,0
L0000148,C001815,B0050,Business Loan,2026-02-03,2026-02-11,302633,245889.31,0.165,24,14890.26,Current,Low,0
L0000149,C001249,B0019,Home Loan,2024-08-30,2024-09-09,1565458,1307157.43,0.1305,120,23420.16,Current,Medium,0
L0000150,C000758,B0032,Vehicle Finance,2022-04-06,2022-04-13,430574,156083.07,0.139,72,8849.26,Current,Low,0
L0000151,C001201,B0016,Vehicle Finance,2026-04-07,2026-04-13,438475,422032.19,0.157,72,9439.05,Current,Medium,0
L0000152,C000055,B0007,Personal Loan,2025-05-14,2025-05-17,315461,205049.65,0.247,36,12492.68,Current,Medium,0
L0000153,C000797,B0032,Business Loan,2026-03-24,2026-03-31,1131197,1046357.23,0.165,48,32348.85,Current,Low,0
L0000154,C001279,B0008,Personal Loan,2026-06-26,2026-07-03,91386,91386.0,0.229,24,4781.65,Current,Low,0
L0000155,C001266,B0057,Personal Loan,2025-11-26,2025-11-26,215615,172492.0,0.229,36,8335.16,Current,Low,0
L0000156,C000753,B0005,Business Loan,2025-12-16,2025-12-23,935184,812441.1,0.183,48,27617.85,Current,Medium,0
L0000157,C000555,B0049,Credit Facility,2025-01-09,2025-01-19,71924,39558.2,0.216,36,2731.95,Current,Medium,0
L0000158,C001124,B0056,Home Loan,2022-11-08,2022-11-13,769905,600525.9,0.1575,180,11173.69,Current,High,0
L0000159,C000060,B0030,Home Loan,2026-05-07,2026-05-10,990550,980644.5,0.1305,180,12565.46,Current,Medium,0
L0000160,C001412,B0055,Home Loan,2023-02-23,2023-03-02,414622,331697.6,0.1305,180,5259.62,Current,Medium,0
L0000161,C000983,B0004,Vehicle Finance,2023-04-19,2023-04-19,391758,200775.97,0.157,72,8433.38,Current,Medium,0
L0000162,C001774,B0022,Personal Loan,2025-10-20,2025-10-30,276842,230124.91,0.247,48,9133.02,Current,Medium,0
L0000163,C001148,B0016,Personal Loan,2025-08-07,2025-08-17,223231,186397.88,0.229,60,6280.17,Current,Low,0
L0000164,C001279,B0025,Personal Loan,2025-04-16,2025-04-25,15398,11933.45,0.229,60,433.19,In Arrears,Low,15
L0000165,C001373,B0008,Business Loan,2025-09-09,2025-09-11,236060,200651.0,0.183,60,6032.96,Current,Medium,0
L0000166,C000676,B0005,Home Loan,2026-04-02,2026-04-05,561755,555435.26,0.1305,240,6601.4,Current,Medium,0
L0000167,C001009,B0016,Personal Loan,2026-03-15,2026-03-15,41997,37797.3,0.247,36,1663.14,In Arrears,Medium,30
L0000168,C001112,B0022,Personal Loan,2023-12-27,2024-01-05,219974,21997.4,0.247,24,11707.26,Current,Medium,0
L0000169,C000091,B0012,Home Loan,2024-01-28,2024-01-29,542519,481485.61,0.1125,240,5692.41,Current,Low,0
L0000170,C000669,B0049,Home Loan,2025-02-23,2025-03-03,660097,620491.18,0.1125,240,6926.11,Current,Low,0
L0000171,C001265,B0022,Vehicle Finance,2023-09-06,2023-09-10,86274,49607.55,0.157,72,1857.22,Current,Medium,0
L0000172,C000324,B0033,Personal Loan,2024-04-18,2024-04-26,287786,93530.45,0.229,36,11125.12,Current,Low,0
L0000173,C001181,B0052,Personal Loan,2022-07-07,2022-07-14,52985,5298.5,0.274,48,1828.5,Current,High,0
L0000174,C001870,B0001,Home Loan,2024-07-09,2024-07-10,1886021,1546537.22,0.1125,120,26247.56,Current,Low,0
L0000175,C000421,B0023,Home Loan,2024-05-17,2024-05-25,896794,780210.78,0.1125,180,10334.16,Current,Low,0
L0000176,C000924,B0043,Vehicle Finance,2026-03-05,2026-03-15,428143,406735.85,0.157,72,9216.64,Current,Medium,0
L0000177,C000867,B0003,Personal Loan,2026-02-26,2026-02-27,5798,4710.88,0.247,24,308.58,Current,Medium,0
L0000178,C000808,B0038,Vehicle Finance,2023-03-12,2023-03-14,240144,120072.0,0.139,72,4935.49,Current,Low,0
L0000179,C000338,B0060,Personal Loan,2025-05-03,2025-05-07,260617,123793.07,0.229,24,13636.44,Current,Low,0
L0000180,C001658,B0041,Vehicle Finance,2026-03-10,2026-03-14,175537,162371.73,0.139,48,4788.01,Current,Low,0
L0000181,C001709,B0037,Business Loan,2022-11-29,2022-12-06,278672,98928.56,0.165,60,6851.02,Current,Low,0
L0000182,C001142,B0010,Vehicle Finance,2026-04-02,2026-04-09,408311,385343.51,0.139,48,11137.23,Current,Low,0
L0000183,C001621,B0004,Home Loan,2026-05-04,2026-05-04,1295717,1282759.83,0.1125,180,14931.12,Current,Low,0
L0000184,C001962,B0051,Personal Loan,2026-03-10,2026-03-14,176574,123601.8,0.247,12,16756.64,Current,Medium,0
L0000185,C000704,B0026,Personal Loan,2025-12-06,2025-12-07,342500,306537.5,0.229,60,9635.57,Current,Low,0
L0000186,C001795,B0009,Personal Loan,2023-08-20,2023-08-20,304243,144515.42,0.229,60,8559.28,Defaulted,Low,90
L0000187,C000152,B0042,Home Loan,2025-09-17,2025-09-27,1447935,1393637.44,0.1125,240,15192.55,Current,Low,0
L0000188,C000431,B0025,Business Loan,2026-06-22,2026-06-26,469214,462175.79,0.165,60,11535.4,Current,Low,0
L0000189,C000717,B0023,Personal Loan,2023-08-24,2023-08-29,256739,25673.9,0.229,24,13433.53,Current,Low,0
L0000190,C001466,B0037,Vehicle Finance,2025-12-22,2025-12-26,396431,354805.74,0.139,60,9203.72,Current,Low,0
L0000191,C000114,B0049,Personal Loan,2024-01-28,2024-01-31,153010,15301.0,0.229,24,8006.05,Current,Low,0
L0000192,C001971,B0059,Personal Loan,2024-11-21,2024-12-01,327109,94043.84,0.274,24,17854.66,In Arrears,High,60
L0000193,C000831,B0048,Home Loan,2023-12-08,2023-12-18,825897,697882.96,0.1305,180,10476.78,Current,Medium,0
L0000194,C001322,B0043,Personal Loan,2026-04-15,2026-04-17,143374,136922.17,0.247,60,4183.04,Current,Medium,0
L0000195,C001316,B0002,Business Loan,2026-06-23,2026-07-02,654671,654671.0,0.165,60,16094.77,In Arrears,Low,15
L0000196,C000011,B0040,Business Loan,2024-07-08,2024-07-11,112291,71866.24,0.165,60,2760.62,Current,Low,0
L0000197,C001051,B0024,Credit Facility,2025-04-23,2025-04-27,134022,83763.75,0.198,36,4967.09,Current,Low,0
L0000198,C000228,B0031,Credit Facility,2024-06-30,2024-07-06,174933,17493.3,0.216,24,9040.68,Current,Medium,0
L0000199,C000433,B0046,Personal Loan,2026-03-15,2026-03-20,59996,55496.3,0.274,48,2070.44,Current,High,0
L0000200,C001820,B0008,Credit Facility,2024-08-21,2024-08-24,56422,7758.02,0.198,24,2866.13,Current,Low,0
L0000201,C001189,B0059,Personal Loan,2025-12-31,2026-01-06,42950,36507.5,0.229,36,1660.34,Current,Low,0
L0000202,C000256,B0050,Business Loan,2023-07-25,2023-08-03,379234,130361.69,0.165,48,10844.96,Current,Low,0
L0000203,C001938,B0060,Credit Facility,2026-06-27,2026-07-04,135546,135546.0,0.198,12,12543.27,Current,Low,0
L0000204,C000114,B0019,Personal Loan,2023-02-22,2023-02-28,193744,74591.44,0.229,60,5450.61,Current,Low,0
L0000205,C001231,B0047,Vehicle Finance,2025-08-11,2025-08-14,517455,446304.94,0.139,72,10634.85,Current,Low,0
L0000206,C000628,B0006,Home Loan,2025-09-15,2025-09-15,389430,360222.75,0.1305,120,5826.1,Current,Medium,0
L0000207,C000465,B0012,Personal Loan,2024-05-18,2024-05-22,183913,64369.55,0.229,36,7109.64,Current,Low,0
L0000208,C000763,B0004,Credit Facility,2026-03-24,2026-03-30,42315,35967.75,0.216,24,2186.87,Current,Medium,0
L0000209,C000525,B0012,Personal Loan,2025-06-20,2025-06-29,171449,17144.9,0.229,12,16121.02,Current,Low,0
L0000210,C001515,B0026,Vehicle Finance,2025-04-17,2025-04-19,604539,491187.94,0.139,72,12424.63,Current,Low,0
L0000211,C000057,B0006,Personal Loan,2025-10-04,2025-10-11,121749,39568.42,0.229,12,11447.82,Current,Low,0
L0000212,C001026,B0017,Personal Loan,2026-03-28,2026-04-05,109920,97554.0,0.229,24,5751.42,Current,Low,0
L0000213,C001448,B0056,Personal Loan,2025-04-15,2025-04-24,111929,80448.97,0.229,48,3581.36,Current,Low,0
L0000214,C001211,B0007,Business Loan,2026-06-23,2026-07-02,582026,582026.0,0.165,36,20606.27,Current,Low,0
L0000215,C001128,B0022,Personal Loan,2025-12-26,2025-12-30,334270,246524.13,0.229,24,17490.23,Current,Low,0
L0000216,C000149,B0031,Business Loan,2023-07-24,2023-08-03,751666,258385.19,0.165,48,21495.4,Current,Low,0
L0000217,C001257,B0023,Personal Loan,2023-10-14,2023-10-21,89778,8977.8,0.274,24,4900.37,In Arrears,High,30
L0000218,C000871,B0013,Personal Loan,2023-07-08,2023-07-14,325272,32527.2,0.229,24,17019.43,Current,Low,0
L0000219,C000195,B0038,Personal Loan,2025-02-10,2025-02-16,313469,213550.76,0.229,48,10029.98,Current,Low,0
L0000220,C000025,B0042,Business Loan,2023-12-19,2023-12-22,123615,51763.78,0.165,48,3535.02,Current,Low,0
L0000221,C001780,B0015,Home Loan,2024-05-13,2024-05-17,1786773,1612562.63,0.1125,240,18747.82,Current,Low,0
L0000222,C000701,B0013,Home Loan,2026-05-03,2026-05-08,2469685,2451162.36,0.1305,240,29022.24,Current,Medium,0
