TransactionID,AccountID,TransactionDate,TransactionTime,TransactionType,TransactionAmount,Channel,TransactionStatus,MerchantCategory,Province
T000000023,A0002229,2026-06-10,19:29:47,Interest,1810.07,ATM,Successful,N/A,Western Cape
T000000024,A0003097,2025-03-20,08:32:49,Card Purchase,1199.09,Branch,Successful,Groceries,Free State
T000000025,A0001485,2026-01-10,07:09:31,Card Purchase,1432.75,Internet Banking,Successful,Groceries,Eastern Cape
T000000026,A0000065,2026-05-17,14:08:59,Card Purchase,96.72,Card,Successful,Retail,Western Cape
T000000027,A0001813,2026-04-27,16:35:12,Debit Order,218.51,POS,Successful,N/A,Western Cape
T000000028,A0000113,2026-07-20,13:52:52,Transfer,178.55,ATM,Successful,N/A,Gauteng
T000000029,A0001895,2026-01-07,08:10:32,Payment,421.91,Card,Successful,Telecoms,Free State
T000000030,A0002630,2026-04-29,15:58:27,Withdrawal,810.19,ATM,Successful,N/A,Gauteng
T000000031,A0002840,2026-05-24,15:17:18,Transfer,1149.2,Internet Banking,Successful,N/A,Limpopo
T000000032,A0001832,2026-06-12,06:02:59,Card Purchase,217.39,ATM,Successful,Restaurants,Eastern Cape
T000000033,A0002289,2026-06-08,14:43:45,Card Purchase,467.88,Card,Successful,Utilities,Western Cape
T000000034,A0002841,2026-06-25,12:36:28,Deposit,550.58,Card,Successful,N/A,Gauteng
T000000035,A0002100,2026-04-10,08:30:41,Card Purchase,1149.38,Internet Banking,Successful,Utilities,Western Cape
T000000036,A0001283,2026-05-25,11:20:22,Transfer,3249.13,Card,Successful,N/A,KwaZulu-Natal
T000000037,A0001217,2026-07-29,19:51:02,Card Purchase,2201.5,Card,Successful,Other,KwaZulu-Natal
T000000038,A0000866,2025-02-15,15:26:39,Debit Order,439.52,Mobile App,Successful,N/A,Gauteng
T000000039,A0002797,2025-05-26,15:40:49,Card Purchase,135.39,Card,Successful,Education,Eastern Cape
T000000040,A0001040,2025-12-01,21:59:36,Deposit,3317.14,ATM,Successful,N/A,Gauteng
T000000041,A0001782,2023-12-21,21:07:33,Card Purchase,1258.42,POS,Successful,Other,Western Cape
T000000042,A0002716,2026-04-12,11:24:40,Debit Order,772.71,Branch,Successful,N/A,Limpopo
T000000043,A0001866,2024-12-16,21:46:10,Withdrawal,1136.7,Card,Successful,N/A,Western Cape
T000000044,A0000576,2026-03-19,10:02:01,Transfer,166.64,Card,Successful,N/A,Western Cape
T000000045,A0000331,2026-07-08,16:10:03,Card Purchase,2666.84,Mobile App,Successful,Healthcare,Gauteng
T000000046,A0000036,2025-11-16,14:42:35,Card Purchase,429.46,Mobile App,Successful,Other,Gauteng
T000000047,A0000492,2026-03-26,22:22:35,Payment,502.97,Card,Successful,Travel,KwaZulu-Natal
T000000048,A0003189,2026-07-31,18:48:28,Transfer,3177.65,Mobile App,Successful,N/A,Western Cape
T000000049,A0003186,2025-10-07,08:15:56,Card Purchase,541.05,Mobile App,Successful,Education,KwaZulu-Natal
T000000050,A0002609,2026-02-19,10:51:22,Debit Order,705.87,Card,Successful,N/A,Eastern Cape
T000000051,A0001032,2026-02-28,13:45:37,Card Purchase,623.67,Branch,Successful,Fuel,Gauteng
T000000052,A0000611,2025-12-04,20:27:10,Card Purchase,1421.28,POS,Successful,Fuel,Western Cape
T000000053,A0001046,2024-08-21,16:41:26,Transfer,417.61,Mobile App,Successful,N/A,Gauteng
T000000054,A0002369,2026-07-17,17:30:18,Debit Order,664.42,POS,Successful,N/A,Free State
T000000055,A0002285,2026-07-14,22:52:12,Payment,681.4,ATM,Successful,Groceries,Free State
T000000056,A0000205,2026-06-06,15:12:26,Debit Order,1354.44,POS,Successful,N/A,KwaZulu-Natal
T000000057,A0001958,2026-03-21,16:23:50,Transfer,658.9,Mobile App,Successful,N/A,Gauteng
T000000058,A0003185,2025-11-08,13:45:29,Payment,1252.52,Card,Successful,Restaurants,Gauteng
T000000059,A0000597,2026-07-22,11:51:33,Card Purchase,16416.03,Mobile App,Successful,Groceries,Mpumalanga
T000000060,A0001237,2025-07-31,19:53:03,Deposit,19794.57,Mobile App,Successful,N/A,Mpumalanga
T000000061,A0000092,2025-10-31,15:48:26,Transfer,2361.21,POS,Successful,N/A,KwaZulu-Natal
T000000062,A0001065,2025-08-20,09:38:28,Card Purchase,116.14,POS,Successful,Utilities,Eastern Cape
T000000063,A0000775,2024-09-21,18:50:08,Card Purchase,937.46,Branch,Successful,Fuel,Western Cape
T000000064,A0001675,2026-01-19,15:12:41,Card Purchase,235.48,POS,Successful,Utilities,Gauteng
T000000065,A0002529,2026-02-08,11:21:30,Deposit,3212.71,Mobile App,Successful,N/A,KwaZulu-Natal
T000000066,A0000033,2026-07-28,21:05:28,Payment,241.09,POS,Successful,Groceries,Northern Cape
T000000067,A0002182,2026-06-18,18:48:15,Deposit,1464.72,POS,Successful,N/A,Western Cape
T000000068,A0002521,2026-07-27,18:13:43,Debit Order,230.07,Mobile App,Successful,N/A,KwaZulu-Natal
T000000069,A0000884,2026-05-28,22:40:49,Card Purchase,1594.85,Card,Successful,Groceries,KwaZulu-Natal
T000000070,A0000316,2026-07-30,21:18:57,Withdrawal,255.29,Internet Banking,Successful,N/A,KwaZulu-Natal
T000000071,A0000541,2025-10-31,20:20:33,Bank Fee,610.47,Mobile App,Successful,N/A,KwaZulu-Natal
T000000072,A0002151,2026-06-19,13:18:51,Card Purchase,3260.83,Mobile App,Successful,Retail,Gauteng
T000000073,A0002302,2026-05-26,17:17:20,Transfer,1113.01,Mobile App,Successful,N/A,Western Cape
T000000074,A0002096,2025-12-09,18:34:19,Card Purchase,489.26,POS,Successful,Fuel,Mpumalanga
T000000075,A0003077,2025-09-16,15:30:34,Card Purchase,261.57,ATM,Successful,Utilities,Gauteng
T000000076,A0000346,2026-07-04,22:54:24,Withdrawal,252.58,Card,Successful,N/A,KwaZulu-Natal
T000000077,A0000845,2026-06-02,11:59:21,Payment,1003.27,Card,Successful,Entertainment,Gauteng
T000000078,A0003079,2026-06-28,21:08:10,Card Purchase,2956.87,Card,Successful,Restaurants,Gauteng
T000000079,A0001040,2026-06-12,13:53:05,Debit Order,2093.21,Mobile App,Successful,N/A,Gauteng
T000000080,A0000624,2024-08-27,22:08:11,Card Purchase,348.27,ATM,Failed,Restaurants,KwaZulu-Natal
T000000081,A0002675,2026-07-20,06:41:37,Card Purchase,803.24,POS,Successful,Utilities,Western Cape
T000000082,A0001920,2025-12-01,15:10:38,Transfer,532.89,ATM,Successful,N/A,Limpopo
T000000083,A0000400,2026-07-26,16:31:28,Card Purchase,655.54,Mobile App,Successful,Retail,Western Cape
T000000084,A0001180,2026-07-04,22:44:09,Transfer,148.16,Mobile App,Successful,N/A,North West
T000000085,A0002554,2026-01-10,11:25:38,Card Purchase,5758.42,POS,Successful,Retail,Gauteng
T000000086,A0000206,2026-06-03,10:41:46,Deposit,3670.74,ATM,Successful,N/A,Gauteng
T000000087,A0001077,2026-01-20,09:58:00,Transfer,4449.92,POS,Successful,N/A,KwaZulu-Natal
T000000088,A0002411,2024-09-27,21:56:50,Transfer,734.76,POS,Successful,N/A,Gauteng
T000000089,A0001954,2026-07-25,15:13:19,Deposit,5009.35,Card,Successful,N/A,Eastern Cape
T000000090,A0001537,2025-12-11,22:55:23,Deposit,3373.5,POS,Successful,N/A,Gauteng
T000000091,A0000347,2025-07-14,21:35:35,Card Purchase,741.31,Mobile App,Successful,Healthcare,Gauteng
T000000092,A0002587,2025-11-21,09:00:10,Deposit,8954.1,ATM,Successful,N/A,Western Cape
T000000093,A0000389,2026-06-14,10:13:48,Card Purchase,300.05,Card,Successful,Telecoms,KwaZulu-Natal
T000000094,A0002781,2023-09-21,06:08:07,Payment,685.42,Internet Banking,Successful,Utilities,Gauteng
T000000095,A0001012,2026-02-07,16:41:15,Withdrawal,394.94,POS,Successful,N/A,Gauteng
T000000096,A0002903,2025-10-21,22:59:46,Payment,95.26,POS,Successful,Travel,Limpopo
T000000097,A0001928,2025-06-21,20:34:21,Transfer,169.43,POS,Successful,N/A,Gauteng
T000000098,A0000363,2026-03-10,21:10:08,Payment,837.38,Mobile App,Successful,Utilities,Western Cape
T000000099,A0002771,2026-07-30,09:35:40,Payment,1668.31,POS,Successful,Travel,KwaZulu-Natal
T000000100,A0000864,2025-11-17,20:44:21,Transfer,624.86,POS,Successful,N/A,Western Cape
T000000101,A0001597,2025-08-24,15:47:17,Transfer,439.09,Mobile App,Successful,N/A,Western Cape
T000000102,A0000094,2026-05-17,08:09:13,Debit Order,284.82,Mobile App,Successful,N/A,Eastern Cape
T000000103,A0002101,2026-07-31,20:19:12,Transfer,1741.1,Card,Successful,N/A,Gauteng
T000000104,A0003135,2025-05-07,09:07:07,Card Purchase,2057.76,ATM,Successful,Restaurants,Gauteng
T000000105,A0000866,2026-04-27,15:37:23,Transfer,468.79,Internet Banking,Successful,N/A,Gauteng
T000000106,A0002476,2025-11-23,22:02:04,Withdrawal,440.79,ATM,Successful,N/A,KwaZulu-Natal
T000000107,A0000596,2026-07-07,10:29:35,Interest,366.88,Branch,Successful,N/A,Eastern Cape
T000000108,A0002828,2023-10-17,15:31:49,Withdrawal,457.35,Mobile App,Successful,N/A,Western Cape
T000000109,A0001678,2025-12-31,12:08:58,Transfer,1828.61,Card,Successful,N/A,KwaZulu-Natal
T000000110,A0001602,2025-10-08,06:43:11,Card Purchase,1602.95,Branch,Successful,Telecoms,Limpopo
T000000111,A0002391,2025-12-05,18:10:54,Transfer,677.5,Mobile App,Successful,N/A,Western Cape
T000000112,A0002218,2026-06-29,10:20:59,Card Purchase,1005.36,Mobile App,Successful,Groceries,Limpopo
T000000113,A0002287,2026-06-11,12:03:27,Debit Order,1429.98,Mobile App,Successful,N/A,Free State
T000000114,A0000064,2026-07-27,15:58:21,Payment,454.96,POS,Successful,Restaurants,North West
T000000115,A0000448,2025-08-10,08:15:48,Payment,684.12,ATM,Successful,Telecoms,Gauteng
T000000116,A0001139,2025-01-13,12:56:24,Payment,199.61,Internet Banking,Successful,Restaurants,Western Cape
T000000117,A0001009,2025-09-04,19:11:03,Debit Order,255.05,Card,Successful,N/A,Limpopo
T000000118,A0002916,2024-10-30,06:36:12,Payment,162.14,ATM,Successful,Telecoms,Gauteng
T000000119,A0003126,2026-06-13,10:47:55,Transfer,1107.7,POS,Successful,N/A,Gauteng
T000000120,A0002809,2025-12-17,15:01:31,Card Purchase,105.66,Card,Successful,Other,Mpumalanga
T000000121,A0002086,2026-07-31,10:13:26,Payment,885.07,Internet Banking,Failed,Entertainment,Gauteng
T000000122,A0001828,2026-07-24,16:37:40,Card Purchase,310.11,Card,Successful,Groceries,Mpumalanga
T000000123,A0002590,2026-07-03,11:52:43,Card Purchase,1705.25,Card,Successful,Telecoms,Western Cape
T000000124,A0002670,2026-03-31,11:08:37,Withdrawal,2296.57,POS,Successful,N/A,Western Cape
T000000125,A0000051,2026-05-05,21:49:12,Deposit,2136.83,Internet Banking,Successful,N/A,Gauteng
T000000126,A0002725,2026-03-28,09:19:07,Withdrawal,761.81,Internet Banking,Successful,N/A,KwaZulu-Natal
T000000127,A0001475,2026-07-22,13:34:44,Card Purchase,196.88,Mobile App,Successful,Groceries,KwaZulu-Natal
T000000128,A0001425,2026-06-19,10:12:24,Card Purchase,770.42,ATM,Successful,Utilities,Gauteng
T000000129,A0003114,2026-07-09,20:44:01,Bank Fee,1370.15,Mobile App,Successful,N/A,Limpopo
T000000130,A0001661,2024-09-10,09:10:02,Withdrawal,686.81,Mobile App,Successful,N/A,Western Cape
T000000131,A0001359,2026-02-11,19:45:28,Transfer,544.75,Card,Successful,N/A,Gauteng
T000000132,A0002619,2026-05-09,17:52:34,Debit Order,624.77,POS,Successful,N/A,Gauteng
T000000133,A0000189,2026-04-09,16:25:16,Card Purchase,819.62,Mobile App,Successful,Fuel,North West
T000000134,A0001021,2026-07-29,22:14:15,Transfer,121.87,Branch,Successful,N/A,Western Cape
T000000135,A0000492,2025-11-03,10:17:50,Transfer,1059.73,Card,Successful,N/A,KwaZulu-Natal
T000000136,A0001020,2026-07-22,09:43:08,Card Purchase,768.74,Mobile App,Successful,Other,KwaZulu-Natal
T000000137,A0002277,2025-11-02,12:00:24,Card Purchase,120.4,Card,Successful,Healthcare,Gauteng
T000000138,A0000311,2026-07-05,18:52:42,Transfer,493.96,POS,Successful,N/A,Western Cape
T000000139,A0000682,2026-07-05,13:38:41,Card Purchase,128.9,Card,Successful,Fuel,Western Cape
T000000140,A0002838,2026-05-24,14:02:02,Transfer,342.36,POS,Successful,N/A,Gauteng
T000000141,A0000319,2024-11-01,21:16:50,Debit Order,249.5,Card,Successful,N/A,Free State
T000000142,A0001494,2024-05-23,07:41:06,Bank Fee,313.49,Branch,Successful,N/A,Gauteng
T000000143,A0000043,2026-01-01,15:00:54,Card Purchase,673.37,Branch,Successful,Utilities,Gauteng
T000000144,A0000169,2026-07-31,10:45:47,Card Purchase,1326.66,Card,Successful,Entertainment,Mpumalanga
T000000145,A0001608,2026-01-29,12:52:12,Card Purchase,3940.08,Mobile App,Successful,Restaurants,Eastern Cape
T000000146,A0001260,2025-08-15,11:22:56,Card Purchase,1480.99,POS,Successful,Restaurants,Gauteng
T000000147,A0002308,2026-02-28,06:36:42,Card Purchase,9269.64,Mobile App,Successful,Other,Western Cape
T000000148,A0000575,2025-10-02,14:22:59,Payment,122.57,Mobile App,Successful,Travel,Gauteng
T000000149,A0001505,2026-01-23,15:45:31,Card Purchase,479.05,POS,Successful,Telecoms,Western Cape
T000000150,A0002089,2026-06-07,07:29:54,Interest,295.27,Mobile App,Successful,N/A,Mpumalanga
T000000151,A0001480,2026-07-03,15:51:04,Withdrawal,1214.83,ATM,Successful,N/A,Eastern Cape
T000000152,A0000255,2023-09-18,16:40:42,Payment,262.83,Internet Banking,Successful,Fuel,Mpumalanga
T000000153,A0000534,2026-01-22,09:51:57,Interest,2422.44,Card,Successful,N/A,Limpopo
T000000154,A0002649,2026-06-18,22:52:46,Bank Fee,204.5,Internet Banking,Successful,N/A,Mpumalanga
T000000155,A0002457,2026-07-15,20:56:13,Card Purchase,786.53,Card,Successful,Restaurants,Limpopo
T000000156,A0000136,2026-05-20,09:53:53,Card Purchase,390.79,Branch,Successful,Travel,Mpumalanga
T000000157,A0003017,2024-11-20,13:42:49,Card Purchase,222.03,Internet Banking,Successful,Telecoms,Western Cape
T000000158,A0002251,2026-04-16,13:28:15,Deposit,4145.2,Mobile App,Successful,N/A,Western Cape
T000000159,A0002716,2026-03-23,20:48:21,Payment,980.13,Card,Successful,Travel,Limpopo
T000000160,A0001801,2026-05-26,21:37:36,Payment,1394.24,Mobile App,Successful,Other,Western Cape
T000000161,A0002355,2025-06-26,21:35:24,Card Purchase,334.81,Card,Successful,Groceries,Gauteng
T000000162,A0000694,2026-03-21,06:53:00,Withdrawal,1408.2,Mobile App,Successful,N/A,Gauteng
T000000163,A0001589,2026-05-31,14:43:41,Debit Order,2043.43,POS,Successful,N/A,Gauteng
T000000164,A0000412,2026-06-01,20:24:47,Transfer,733.86,Card,Successful,N/A,Northern Cape
T000000165,A0000019,2024-07-30,20:18:48,Debit Order,366.43,Mobile App,Successful,N/A,Gauteng
T000000166,A0002858,2026-06-29,19:03:32,Interest,593.67,Card,Successful,N/A,Gauteng
T000000167,A0000463,2026-07-02,09:31:55,Card Purchase,767.1,Card,Successful,Education,Free State
T000000168,A0001830,2025-08-22,17:16:15,Card Purchase,478.06,Internet Banking,Successful,Groceries,Gauteng
T000000169,A0003096,2026-07-27,22:11:33,Transfer,691.98,Internet Banking,Successful,N/A,Free State
T000000170,A0000006,2025-07-21,13:23:02,Transfer,2066.52,ATM,Successful,N/A,Gauteng
T000000171,A0000651,2026-04-11,14:34:55,Transfer,1263.72,Mobile App,Successful,N/A,Western Cape
T000000172,A0001552,2026-07-16,17:00:34,Deposit,3183.47,Internet Banking,Successful,N/A,Eastern Cape
T000000173,A0002470,2026-07-15,21:43:51,Interest,1387.09,Card,Failed,N/A,Free State
T000000174,A0000884,2026-07-17,06:05:31,Card Purchase,354.78,ATM,Successful,Travel,KwaZulu-Natal
T000000175,A0003085,2025-02-09,15:39:32,Transfer,2187.81,Card,Successful,N/A,Gauteng
T000000176,A0001053,2024-12-18,14:12:29,Transfer,3475.31,ATM,Successful,N/A,Western Cape
T000000177,A0001381,2025-06-13,16:27:50,Card Purchase,2190.57,ATM,Successful,Restaurants,Gauteng
T000000178,A0001260,2025-08-19,07:50:40,Card Purchase,465.82,Card,Successful,Healthcare,Gauteng
T000000179,A0000482,2025-05-03,18:01:01,Transfer,6195.21,Branch,Successful,N/A,Free State
T000000180,A0003104,2026-06-28,08:23:31,Card Purchase,463.72,Card,Successful,Other,Gauteng
T000000181,A0001912,2026-04-24,07:12:07,Debit Order,292.35,Mobile App,Successful,N/A,KwaZulu-Natal
T000000182,A0002826,2026-07-24,22:44:00,Transfer,461.57,Mobile App,Successful,N/A,Gauteng
T000000183,A0000504,2026-06-08,18:29:03,Payment,292.77,Internet Banking,Successful,Travel,Eastern Cape
T000000184,A0000673,2025-07-17,07:06:26,Card Purchase,159.81,Card,Successful,Entertainment,Gauteng
T000000185,A0000509,2026-06-04,19:36:22,Bank Fee,1010.42,Mobile App,Successful,N/A,North West
T000000186,A0001484,2026-07-26,18:45:19,Card Purchase,1147.55,Card,Failed,Education,Eastern Cape
T000000187,A0001693,2026-06-28,12:11:03,Payment,490.97,Mobile App,Successful,Entertainment,Free State
T000000188,A0002490,2026-07-27,20:59:54,Card Purchase,1809.8,Internet Banking,Successful,Education,KwaZulu-Natal
T000000189,A0001622,2026-07-28,08:33:15,Card Purchase,954.39,POS,Successful,Restaurants,Northern Cape
T000000190,A0000104,2026-05-05,13:56:07,Card Purchase,155.21,Card,Successful,Other,KwaZulu-Natal
T000000191,A0000328,2025-07-02,21:24:42,Interest,574.39,ATM,Successful,N/A,North West
T000000192,A0001090,2026-03-11,21:31:12,Transfer,2202.6,POS,Successful,N/A,Gauteng
T000000193,A0000738,2026-07-21,17:23:04,Card Purchase,1360.06,POS,Successful,Telecoms,KwaZulu-Natal
T000000194,A0001849,2026-07-28,09:16:32,Debit Order,1605.25,Mobile App,Successful,N/A,Free State
T000000195,A0000847,2026-03-30,11:28:23,Card Purchase,427.52,Card,Successful,Retail,Western Cape
T000000196,A0001095,2026-07-29,18:54:50,Payment,563.96,Mobile App,Successful,Telecoms,Western Cape
T000000197,A0003152,2026-01-05,12:38:36,Card Purchase,214.07,Internet Banking,Successful,Travel,KwaZulu-Natal
T000000198,A0001024,2026-07-30,19:07:59,Transfer,1781.62,Mobile App,Successful,N/A,Western Cape
T000000199,A0002009,2026-05-16,11:31:20,Withdrawal,2344.82,Mobile App,Successful,N/A,KwaZulu-Natal
T000000200,A0002089,2026-05-03,22:48:05,Withdrawal,1033.96,POS,Successful,N/A,Mpumalanga
T000000201,A0002118,2026-07-13,22:30:17,Interest,2261.66,Mobile App,Successful,N/A,KwaZulu-Natal
T000000202,A0002820,2026-07-28,22:33:17,Payment,318.63,POS,Successful,Healthcare,Western Cape
T000000203,A0002983,2026-06-12,12:17:59,Deposit,4187.86,Card,Successful,N/A,Western Cape
T000000204,A0000700,2026-07-03,22:03:40,Card Purchase,232.54,Mobile App,Successful,Education,Gauteng
T000000205,A0002222,2025-11-13,15:07:30,Transfer,81.91,Branch,Successful,N/A,Western Cape
T000000206,A0002272,2025-06-07,13:58:01,Debit Order,9130.77,ATM,Successful,N/A,Western Cape
T000000207,A0000322,2026-05-26,15:06:24,Card Purchase,144.26,Card,Successful,Other,Eastern Cape
T000000208,A0001844,2026-05-15,18:33:59,Card Purchase,56.75,Card,Successful,Groceries,Gauteng
T000000209,A0002201,2026-06-13,15:52:41,Card Purchase,199.27,Mobile App,Successful,Education,KwaZulu-Natal
T000000210,A0001592,2026-07-29,16:23:23,Card Purchase,1380.32,Card,Successful,Fuel,Eastern Cape
T000000211,A0000336,2026-01-13,17:55:51,Card Purchase,3307.97,Mobile App,Successful,Entertainment,Western Cape
T000000212,A0000177,2026-07-02,18:41:57,Interest,623.23,Branch,Successful,N/A,Gauteng
T000000213,A0002748,2025-02-21,22:53:50,Card Purchase,2043.06,Branch,Successful,Education,Gauteng
T000000214,A0001699,2026-04-20,11:17:46,Transfer,3670.69,POS,Successful,N/A,Western Cape
T000000215,A0002654,2026-03-26,20:31:00,Card Purchase,313.96,Mobile App,Successful,Fuel,Gauteng
T000000216,A0002419,2026-06-27,20:49:22,Card Purchase,565.97,Mobile App,Successful,Healthcare,KwaZulu-Natal
T000000217,A0000193,2026-05-14,07:32:28,Debit Order,571.05,Mobile App,Successful,N/A,Free State
T000000218,A0000247,2026-05-23,21:50:41,Card Purchase,329.95,Mobile App,Successful,Telecoms,Gauteng
T000000219,A0002407,2025-10-01,19:10:02,Deposit,658.76,Mobile App,Successful,N/A,Western Cape
T000000220,A0001267,2026-07-10,22:36:56,Card Purchase,178.19,Card,Successful,Groceries,KwaZulu-Natal
T000000221,A0002769,2025-11-12,10:38:09,Transfer,2764.49,Branch,Successful,N/A,Gauteng
T000000222,A0000447,2025-09-02,14:04:41,Card Purchase,2869.23,ATM,Successful,Telecoms,Gauteng
T000000223,A0002658,2025-11-21,09:23:45,Payment,4718.94,ATM,Successful,Healthcare,Free State
T000000224,A0000310,2025-11-13,09:32:12,Payment,1250.72,Internet Banking,Successful,Other,Eastern Cape
T000000225,A0002707,2026-07-24,15:11:00,Deposit,5187.33,Mobile App,Successful,N/A,Free State
T000000226,A0002898,2026-06-23,16:12:37,Card Purchase,611.0,Card,Successful,Travel,KwaZulu-Natal
T000000227,A0000348,2026-04-19,12:47:51,Payment,1423.74,POS,Successful,Telecoms,KwaZulu-Natal
T000000228,A0000047,2026-05-24,20:22:34,Card Purchase,350.79,ATM,Successful,Utilities,Gauteng
T000000229,A0001805,2025-05-22,12:30:55,Debit Order,943.35,ATM,Successful,N/A,Gauteng
T000000230,A0002898,2026-06-09,16:14:33,Card Purchase,303.68,POS,Successful,Other,KwaZulu-Natal
T000000231,A0000494,2026-07-19,07:46:31,Payment,1161.94,Card,Successful,Fuel,Gauteng
T000000232,A0002571,2026-07-03,11:26:19,Card Purchase,672.69,Card,Successful,Groceries,Western Cape
T000000233,A0001609,2026-07-11,17:15:02,Payment,437.14,Mobile App,Successful,Retail,KwaZulu-Natal
T000000234,A0001256,2026-06-07,18:58:18,Card Purchase,6149.4,Card,Successful,Education,Gauteng
T000000235,A0001338,2026-07-29,21:51:27,Transfer,301.3,Mobile App,Successful,N/A,Eastern Cape
T000000236,A0002776,2026-05-31,13:47:43,Card Purchase,2074.06,Internet Banking,Successful,Telecoms,Western Cape
T000000237,A0000932,2026-07-31,18:03:51,Withdrawal,781.93,ATM,Successful,N/A,Gauteng
T000000238,A0000617,2024-05-11,14:46:18,Card Purchase,370.82,Card,Successful,Telecoms,Gauteng
T000000239,A0002188,2025-05-02,20:28:30,Payment,97.16,Card,Successful,Groceries,Mpumalanga
T000000240,A0001665,2026-06-13,15:01:31,Transfer,4830.93,Internet Banking,Successful,N/A,Gauteng
T000000241,A0001305,2026-06-10,12:35:13,Transfer,671.69,Internet Banking,Successful,N/A,Gauteng
T000000242,A0001596,2026-05-20,18:03:47,Card Purchase,436.99,POS,Successful,Telecoms,Gauteng
T000000243,A0000717,2024-04-09,08:58:04,Card Purchase,1627.35,Mobile App,Successful,Entertainment,Eastern Cape
T000000244,A0003076,2025-10-13,14:58:24,Payment,395.56,POS,Successful,Fuel,Eastern Cape
T000000245,A0000067,2025-10-31,21:34:27,Card Purchase,440.78,Card,Successful,Groceries,KwaZulu-Natal
T000000246,A0002131,2026-01-19,07:26:29,Payment,660.52,POS,Successful,Entertainment,Gauteng
T000000247,A0002818,2025-01-07,08:24:35,Debit Order,7567.08,Mobile App,Successful,N/A,KwaZulu-Natal
T000000248,A0001074,2026-01-24,07:00:19,Deposit,1625.82,Branch,Successful,N/A,Gauteng
T000000249,A0000812,2026-06-16,21:19:24,Card Purchase,812.75,Internet Banking,Successful,Retail,KwaZulu-Natal
T000000250,A0002559,2026-05-06,20:59:48,Transfer,16270.69,Branch,Successful,N/A,Eastern Cape
T000000251,A0001596,2026-04-10,09:55:11,Transfer,1770.47,POS,Successful,N/A,Gauteng
T000000252,A0000367,2026-07-30,17:30:52,Card Purchase,296.47,Card,Successful,Other,Gauteng
T000000253,A0002752,2026-05-30,21:59:38,Bank Fee,319.49,Mobile App,Successful,N/A,Gauteng
T000000254,A0002345,2026-05-06,11:01:31,Card Purchase,523.7,POS,Successful,Retail,Gauteng
T000000255,A0001889,2026-07-28,11:35:55,Deposit,1921.34,ATM,Successful,N/A,Gauteng
T000000256,A0001414,2026-05-25,19:04:05,Card Purchase,1145.9,Mobile App,Successful,Retail,Gauteng
T000000257,A0002465,2026-03-26,14:54:01,Payment,236.89,Card,Successful,Education,Gauteng
T000000258,A0002023,2026-07-25,17:18:15,Transfer,1832.16,Mobile App,Successful,N/A,KwaZulu-Natal
T000000259,A0000838,2026-07-10,15:56:19,Payment,270.79,ATM,Successful,Education,Free State
T000000260,A0002418,2025-11-12,12:33:04,Withdrawal,43.1,ATM,Successful,N/A,Western Cape
T000000261,A0000343,2026-07-12,15:44:47,Withdrawal,918.31,Card,Successful,N/A,Western Cape
