AccountID,CustomerID,ProductID,BranchID,AccountType,OpenDate,CurrentBalance,AccountStatus,InterestRate,OverdraftLimit
A0000106,C001483,P003,B0043,Current Account,2026-03-24,15221.93,Active,0.001,0
A0000107,C002000,P006,B0004,Savings,2024-11-27,29312.25,Dormant,0.062,0
A0000108,C001864,P020,B0050,Current Account,2026-07-23,11282.48,Active,0.002,1400.0
A0000109,C000037,P010,B0045,Credit Card,2024-06-12,-615.28,Active,0.215,5000
A0000110,C001552,P008,B0033,Fixed Deposit,2023-12-04,40820.71,Active,0.085,0
A0000111,C000994,P004,B0010,Savings,2026-05-08,50744.22,Dormant,0.045,0
A0000112,C000578,P011,B0022,Credit Card,2025-10-27,-17969.6,Active,0.205,42000.0
A0000113,C001067,P002,B0037,Current Account,2026-07-13,11891.31,Active,0.001,0
A0000114,C001990,P005,B0019,Savings,2025-03-03,10474.9,Active,0.055,0
A0000115,C000584,P011,B0026,Credit Card,2026-07-29,-4804.29,Active,0.205,12200.0
A0000116,C000735,P009,B0053,Money Market,2025-02-15,26212.61,Active,0.068,0
A0000117,C001705,P001,B0046,Current Account,2026-03-30,5492.9,Active,0.002,0
A0000118,C000420,P010,B0047,Credit Card,2024-01-20,-7913.8,Active,0.215,12200.0
A0000119,C000423,P012,B0014,Credit Card,2026-06-23,-505.91,Closed,0.185,5000
A0000120,C001347,P006,B0003,Savings,2025-09-10,44003.85,Active,0.062,5200.0
A0000121,C001202,P020,B0025,Current Account,2024-09-26,5964.27,Active,0.002,0
A0000122,C000006,P010,B0009,Credit Card,2023-05-06,-1733.8,Active,0.215,5000
A0000123,C001062,P020,B0016,Current Account,2026-02-07,10867.28,Active,0.002,0
A0000124,C001398,P001,B0051,Current Account,2025-04-18,22691.29,Active,0.002,0
A0000125,C001408,P011,B0046,Credit Card,2025-06-13,-7104.04,Active,0.205,12200.0
A0000126,C000158,P011,B0022,Credit Card,2025-07-15,-5073.18,Active,0.205,42000.0
A0000127,C001525,P018,B0038,Current Account,2026-07-12,47945.08,Active,0.012,5200.0
A0000128,C000448,P018,B0029,Current Account,2025-11-28,8285.37,Active,0.012,0
A0000129,C000195,P008,B0027,Fixed Deposit,2026-02-13,93726.01,Active,0.085,0
A0000130,C000560,P004,B0044,Savings,2025-09-08,33701.23,Active,0.045,5200.0
A0000131,C001341,P006,B0005,Savings,2025-03-04,4681.41,Active,0.062,0
A0000132,C001135,P011,B0049,Credit Card,2022-12-05,-4722.12,Dormant,0.205,12200.0
A0000133,C000557,P005,B0058,Savings,2025-10-21,13911.51,Active,0.055,0
A0000134,C000052,P012,B0042,Credit Card,2026-02-03,-2111.51,Active,0.185,5000
A0000135,C001437,P011,B0030,Credit Card,2023-11-06,-13230.76,Active,0.205,42000.0
A0000136,C000053,P005,B0052,Savings,2025-01-22,41097.09,Active,0.055,0
A0000137,C001585,P002,B0014,Current Account,2025-07-05,37112.77,Active,0.001,0
A0000138,C001273,P006,B0060,Savings,2026-03-22,7547.15,Dormant,0.062,0
A0000139,C001950,P012,B0017,Credit Card,2023-09-10,-2959.73,Active,0.185,12200.0
A0000140,C000902,P020,B0016,Current Account,2026-05-21,3349.78,Active,0.002,0
A0000141,C001369,P011,B0051,Credit Card,2026-01-30,-4054.36,Active,0.205,12200.0
A0000142,C001069,P001,B0042,Current Account,2026-03-28,30937.38,Active,0.002,0
A0000143,C000978,P018,B0013,Current Account,2024-01-01,6366.84,Active,0.012,1400.0
A0000144,C001719,P011,B0001,Credit Card,2025-06-19,-582.92,Active,0.205,5000
A0000145,C001395,P008,B0014,Fixed Deposit,2025-10-12,11350.33,Active,0.085,0
A0000146,C001469,P001,B0035,Current Account,2025-08-22,63681.14,Active,0.002,5200.0
A0000147,C000868,P004,B0031,Savings,2025-10-01,185701.72,Active,0.045,0
A0000148,C000645,P012,B0012,Credit Card,2024-12-08,-1223.95,Active,0.185,5000
A0000149,C000440,P009,B0034,Money Market,2022-05-06,302214.8,Active,0.068,0
A0000150,C000102,P018,B0030,Current Account,2025-07-11,31496.45,Active,0.012,5200.0
A0000151,C000907,P005,B0003,Savings,2024-10-27,16358.52,Active,0.055,1400.0
A0000152,C000313,P003,B0049,Current Account,2024-04-06,65239.99,Active,0.001,0
A0000153,C001640,P006,B0043,Savings,2026-07-14,31138.55,Active,0.062,18000.0
A0000154,C000449,P019,B0030,Money Market,2026-06-17,57123.14,Dormant,0.078,0
A0000155,C000276,P006,B0023,Savings,2026-02-18,15587.47,Active,0.062,1400.0
A0000156,C001529,P008,B0010,Fixed Deposit,2026-05-28,19937.81,Active,0.085,0
A0000157,C001040,P011,B0016,Credit Card,2026-07-17,-1690.72,Active,0.205,12200.0
A0000158,C001977,P004,B0053,Savings,2024-10-04,61701.19,Active,0.045,0
A0000159,C000694,P002,B0048,Current Account,2025-08-19,29269.66,Active,0.001,0
A0000160,C001163,P003,B0014,Current Account,2024-01-07,5460.5,Active,0.001,1400.0
A0000161,C000699,P003,B0022,Current Account,2025-08-03,37599.8,Dormant,0.001,0
A0000162,C001024,P004,B0020,Savings,2025-10-26,9453.6,Dormant,0.045,1400.0
A0000163,C001675,P006,B0049,Savings,2026-03-15,22690.24,Active,0.062,5200.0
A0000164,C001728,P012,B0006,Credit Card,2024-12-31,-783.62,Active,0.185,5000
A0000165,C001923,P004,B0051,Savings,2026-03-10,128960.62,Active,0.045,0
A0000166,C000603,P002,B0044,Current Account,2026-06-11,14529.19,Active,0.001,0
A0000167,C001353,P005,B0041,Savings,2026-05-07,7916.1,Active,0.055,0
A0000168,C000798,P012,B0030,Credit Card,2025-03-23,-1777.08,Active,0.185,5000
A0000169,C001113,P007,B0052,Notice Deposit,2026-07-30,8253.31,Active,0.075,0
A0000170,C000435,P008,B0024,Fixed Deposit,2026-05-30,95355.89,Active,0.085,0
A0000171,C000301,P020,B0041,Current Account,2022-03-05,4531.08,Active,0.002,0
A0000172,C001434,P004,B0056,Savings,2025-04-09,381706.27,Active,0.045,0
A0000173,C001812,P004,B0032,Savings,2026-05-06,13190.41,Active,0.045,0
A0000174,C001970,P004,B0002,Savings,2025-01-13,14641.67,Active,0.045,5200.0
A0000175,C000708,P006,B0041,Savings,2025-11-25,10055.21,Active,0.062,0
A0000176,C001209,P004,B0014,Savings,2024-12-24,3315.73,Active,0.045,1400.0
A0000177,C000916,P005,B0013,Savings,2026-04-13,11435.91,Active,0.055,1400.0
A0000178,C000256,P005,B0045,Savings,2025-07-31,18173.85,Active,0.055,5200.0
A0000179,C001731,P003,B0053,Current Account,2026-04-24,8693.02,Active,0.001,0
A0000180,C001073,P005,B0023,Savings,2025-04-23,23004.66,Active,0.055,0
A0000181,C000350,P005,B0026,Savings,2026-03-22,18668.16,Active,0.055,0
A0000182,C001507,P002,B0055,Current Account,2025-02-14,37001.44,Active,0.001,0
A0000183,C001488,P012,B0005,Credit Card,2025-08-03,-8118.76,Active,0.185,12200.0
A0000184,C000702,P010,B0022,Credit Card,2024-12-15,-8148.59,Active,0.215,12200.0
A0000185,C000971,P003,B0033,Current Account,2026-06-04,3686.51,Active,0.001,0
A0000186,C001867,P018,B0032,Current Account,2026-05-20,19464.02,Active,0.012,0
A0000187,C001790,P012,B0038,Credit Card,2025-06-19,-2000.35,Active,0.185,12200.0
A0000188,C000529,P018,B0019,Current Account,2023-07-06,4416.03,Active,0.012,0
A0000189,C001594,P007,B0022,Notice Deposit,2026-03-08,15677.03,Active,0.075,0
A0000190,C001798,P003,B0035,Current Account,2025-07-17,128040.29,Active,0.001,0
A0000191,C000895,P020,B0040,Current Account,2023-12-19,29199.36,Active,0.002,0
A0000192,C000764,P005,B0057,Savings,2024-10-12,71194.44,Active,0.055,0
A0000193,C000718,P008,B0030,Fixed Deposit,2024-10-10,36943.8,Active,0.085,0
A0000194,C001178,P003,B0022,Current Account,2026-03-26,8045.19,Active,0.001,0
A0000195,C001454,P018,B0037,Current Account,2026-06-23,9230.61,Active,0.012,0
A0000196,C000735,P001,B0023,Current Account,2024-01-22,33770.52,Active,0.002,5200.0
A0000197,C000112,P020,B0049,Current Account,2023-07-13,7039.87,Active,0.002,0
A0000198,C001193,P011,B0002,Credit Card,2024-05-28,-2783.14,Active,0.205,12200.0
A0000199,C000862,P020,B0030,Current Account,2026-03-29,67835.1,Active,0.002,0
A0000200,C001490,P004,B0017,Savings,2026-03-11,25222.09,Active,0.045,0
A0000201,C001198,P005,B0048,Savings,2026-02-15,36044.04,Active,0.055,0
A0000202,C000585,P018,B0059,Current Account,2024-06-19,258523.0,Active,0.012,0
A0000203,C000830,P001,B0007,Current Account,2023-12-07,91232.65,Active,0.002,0
A0000204,C001725,P018,B0056,Current Account,2025-06-19,4099.55,Active,0.012,0
A0000205,C001348,P018,B0049,Current Account,2026-03-31,146680.99,Active,0.012,0
A0000206,C000185,P002,B0035,Current Account,2026-04-16,85789.77,Active,0.001,0
A0000207,C000377,P020,B0004,Current Account,2024-07-19,92881.23,Dormant,0.002,0
A0000208,C001532,P011,B0001,Credit Card,2025-06-07,-8002.66,Active,0.205,12200.0
A0000209,C000610,P003,B0052,Current Account,2026-04-13,7231.59,Active,0.001,0
A0000210,C001602,P002,B0020,Current Account,2025-06-20,80463.57,Active,0.001,0
A0000211,C000712,P002,B0034,Current Account,2026-01-28,77440.3,Active,0.001,0
A0000212,C000876,P010,B0053,Credit Card,2026-07-28,-830.83,Dormant,0.215,5000
A0000213,C000474,P004,B0007,Savings,2026-02-07,12821.7,Dormant,0.045,0
A0000214,C001030,P007,B0044,Notice Deposit,2024-10-12,20092.16,Active,0.075,0
A0000215,C001991,P018,B0001,Current Account,2026-01-23,8043.55,Active,0.012,0
A0000216,C001306,P019,B0013,Money Market,2023-05-05,67105.24,Active,0.078,0
A0000217,C000820,P005,B0049,Savings,2026-05-26,18243.76,Active,0.055,0
A0000218,C000278,P020,B0051,Current Account,2025-06-21,11822.9,Active,0.002,0
A0000219,C001918,P018,B0016,Current Account,2024-12-02,28196.9,Active,0.012,0
A0000220,C000220,P003,B0051,Current Account,2026-04-25,16970.97,Active,0.001,5200.0
A0000221,C000629,P002,B0045,Current Account,2026-02-03,5646.03,Active,0.001,0
A0000222,C001320,P006,B0058,Savings,2026-07-07,37536.57,Active,0.062,0
A0000223,C000211,P002,B0044,Current Account,2026-07-04,7616.59,Active,0.001,0
A0000224,C000766,P002,B0022,Current Account,2024-04-26,49750.44,Active,0.001,0
A0000225,C001798,P019,B0006,Money Market,2025-04-18,79846.04,Active,0.078,0
A0000226,C001258,P004,B0002,Savings,2025-10-24,17750.45,Active,0.045,0
A0000227,C001424,P008,B0047,Fixed Deposit,2026-05-05,20538.94,Active,0.085,0
A0000228,C000512,P004,B0058,Savings,2023-05-12,65679.1,Active,0.045,0
A0000229,C000550,P004,B0051,Savings,2024-03-20,4554.77,Active,0.045,1400.0
A0000230,C001004,P004,B0006,Savings,2022-11-17,122254.53,Active,0.045,0
A0000231,C000411,P007,B0005,Notice Deposit,2026-02-10,68228.97,Active,0.075,0
A0000232,C000631,P006,B0007,Savings,2025-08-29,60240.48,Active,0.062,5200.0
A0000233,C000698,P020,B0037,Current Account,2026-04-24,2202.68,Active,0.002,1400.0
A0000234,C001358,P011,B0034,Credit Card,2025-11-28,-1445.6,Active,0.205,5000
A0000235,C000805,P004,B0054,Savings,2023-04-13,11838.98,Active,0.045,1400.0
A0000236,C001995,P020,B0024,Current Account,2026-03-31,86751.97,Active,0.002,0
A0000237,C000243,P020,B0027,Current Account,2025-12-22,5111.44,Active,0.002,0
A0000238,C000624,P008,B0028,Fixed Deposit,2025-10-01,15714.59,Active,0.085,0
A0000239,C000160,P001,B0027,Current Account,2024-03-23,91823.75,Active,0.002,0
A0000240,C001066,P004,B0060,Savings,2024-09-05,4611.4,Active,0.045,0
A0000241,C001649,P001,B0014,Current Account,2025-06-29,2371.04,Active,0.002,0
A0000242,C001697,P006,B0032,Savings,2026-03-19,70447.3,Active,0.062,0
A0000243,C001799,P008,B0018,Fixed Deposit,2026-06-28,12447.53,Active,0.085,0
A0000244,C000353,P008,B0041,Fixed Deposit,2025-04-02,16286.61,Active,0.085,0
A0000245,C000657,P020,B0049,Current Account,2025-12-21,27226.15,Active,0.002,0
A0000246,C000299,P007,B0014,Notice Deposit,2025-06-17,51178.04,Active,0.075,0
A0000247,C000013,P006,B0035,Savings,2026-04-27,20019.45,Active,0.062,0
A0000248,C000991,P006,B0019,Savings,2025-01-20,8691.03,Dormant,0.062,0
A0000249,C000715,P008,B0029,Fixed Deposit,2026-07-01,69027.16,Dormant,0.085,0
A0000250,C000342,P020,B0020,Current Account,2026-07-15,10439.25,Active,0.002,0
A0000251,C001668,P001,B0009,Current Account,2025-06-14,15954.78,Active,0.002,0
A0000252,C001224,P005,B0043,Savings,2026-06-19,96401.16,Active,0.055,18000.0
A0000253,C001349,P007,B0051,Notice Deposit,2026-02-27,16047.01,Dormant,0.075,0
A0000254,C000615,P003,B0048,Current Account,2026-02-28,10164.64,Active,0.001,0
A0000255,C001987,P006,B0058,Savings,2023-06-19,23565.45,Active,0.062,0
A0000256,C001167,P004,B0053,Savings,2026-01-22,45285.93,Active,0.045,0
A0000257,C001636,P011,B0054,Credit Card,2025-10-11,-6856.44,Active,0.205,12200.0
A0000258,C001521,P007,B0026,Notice Deposit,2026-07-14,37556.05,Active,0.075,0
A0000259,C001017,P003,B0038,Current Account,2024-12-31,30625.57,Active,0.001,0
A0000260,C000336,P006,B0023,Savings,2026-05-08,17775.85,Active,0.062,0
A0000261,C000713,P009,B0023,Money Market,2026-04-24,290247.81,Active,0.068,0
A0000262,C001897,P008,B0038,Fixed Deposit,2025-08-31,8771.35,Active,0.085,0
A0000263,C001884,P006,B0058,Savings,2024-10-02,14258.8,Active,0.062,0
A0000264,C001801,P018,B0036,Current Account,2025-09-06,7606.64,Active,0.012,0
A0000265,C001425,P007,B0024,Notice Deposit,2024-07-21,11932.13,Active,0.075,0
A0000266,C001711,P007,B0006,Notice Deposit,2023-12-30,16175.65,Active,0.075,0
A0000267,C000907,P004,B0030,Savings,2025-03-30,47909.47,Active,0.045,0
A0000268,C001403,P001,B0028,Current Account,2025-07-22,16500.57,Active,0.002,0
A0000269,C001402,P006,B0045,Savings,2025-09-12,68565.06,Active,0.062,0
A0000270,C000969,P001,B0010,Current Account,2024-03-30,84266.72,Active,0.002,5200.0
A0000271,C001340,P019,B0014,Money Market,2026-07-11,59634.17,Active,0.078,0
A0000272,C001399,P020,B0036,Current Account,2023-04-16,49293.18,Dormant,0.002,0
A0000273,C001327,P019,B0003,Money Market,2026-03-27,9942.21,Active,0.078,0
A0000274,C001675,P008,B0053,Fixed Deposit,2026-04-26,39933.69,Active,0.085,0
A0000275,C000562,P004,B0009,Savings,2026-06-29,27962.92,Active,0.045,0
A0000276,C000300,P005,B0045,Savings,2025-03-07,11386.73,Active,0.055,0
A0000277,C001731,P001,B0023,Current Account,2024-09-26,10981.12,Active,0.002,0
A0000278,C001992,P008,B0004,Fixed Deposit,2024-07-23,36389.3,Active,0.085,0
A0000279,C001024,P002,B0013,Current Account,2025-09-01,1969.58,Active,0.001,0
A0000280,C001576,P005,B0054,Savings,2024-09-11,34151.5,Active,0.055,0
A0000281,C000266,P011,B0024,Credit Card,2026-02-27,-1182.23,Active,0.205,5000
A0000282,C000646,P006,B0016,Savings,2026-07-02,95275.47,Active,0.062,0
A0000283,C001322,P008,B0060,Fixed Deposit,2025-12-26,57017.86,Active,0.085,0
A0000284,C001842,P009,B0007,Money Market,2024-05-16,12144.12,Active,0.068,0
A0000285,C000880,P012,B0022,Credit Card,2025-06-07,-5691.1,Active,0.185,12200.0
A0000286,C001766,P020,B0018,Current Account,2022-07-11,24474.43,Active,0.002,0
A0000287,C001011,P001,B0049,Current Account,2026-02-22,39635.06,Active,0.002,0
A0000288,C000844,P006,B0007,Savings,2025-09-05,11322.92,Active,0.062,0
A0000289,C000145,P019,B0052,Money Market,2026-07-07,85104.2,Active,0.078,0
A0000290,C000119,P005,B0041,Savings,2026-06-30,12640.82,Active,0.055,0
A0000291,C000450,P008,B0042,Fixed Deposit,2024-10-24,25534.19,Active,0.085,0
A0000292,C001223,P003,B0056,Current Account,2025-01-15,1749.41,Dormant,0.001,0
A0000293,C000579,P001,B0040,Current Account,2024-08-17,111878.03,Active,0.002,0
A0000294,C001080,P004,B0007,Savings,2023-07-24,17201.73,Active,0.045,1400.0
A0000295,C001765,P006,B0040,Savings,2023-12-18,9067.14,Active,0.062,0
A0000296,C000455,P005,B0002,Savings,2022-11-10,9813.11,Active,0.055,0
A0000297,C000142,P018,B0002,Current Account,2026-04-17,10371.23,Dormant,0.012,0
A0000298,C000509,P009,B0027,Money Market,2025-05-10,14957.81,Active,0.068,0
A0000299,C000670,P010,B0043,Credit Card,2022-11-29,-7615.7,Dormant,0.215,12200.0
A0000300,C001614,P006,B0031,Savings,2025-12-17,5750.63,Active,0.062,1400.0
A0000301,C000621,P006,B0034,Savings,2024-04-23,3565.69,Active,0.062,0
A0000302,C001840,P007,B0043,Notice Deposit,2024-12-23,35219.22,Active,0.075,0
A0000303,C000808,P008,B0038,Fixed Deposit,2025-04-10,81032.95,Active,0.085,0
A0000304,C000410,P001,B0058,Current Account,2024-09-17,160198.92,Closed,0.002,0
A0000305,C000252,P020,B0054,Current Account,2026-04-03,36550.64,Active,0.002,0
A0000306,C001900,P019,B0027,Money Market,2024-01-12,86006.6,Active,0.078,0
A0000307,C001801,P018,B0015,Current Account,2025-12-31,47759.08,Active,0.012,0
A0000308,C001117,P002,B0059,Current Account,2025-07-24,18834.5,Active,0.001,0
A0000309,C001584,P018,B0034,Current Account,2026-02-01,5676.63,Active,0.012,0
A0000310,C000022,P005,B0024,Savings,2024-09-09,7599.11,Active,0.055,0
A0000311,C000966,P008,B0028,Fixed Deposit,2026-03-16,11197.91,Active,0.085,0
A0000312,C001621,P006,B0009,Savings,2026-04-18,4953.05,Active,0.062,1400.0
A0000313,C001634,P005,B0049,Savings,2024-06-21,6802.99,Active,0.055,0
A0000314,C001422,P002,B0005,Current Account,2024-04-15,7485.56,Active,0.001,0
A0000315,C000545,P007,B0019,Notice Deposit,2024-03-27,23162.51,Active,0.075,0
A0000316,C001744,P008,B0017,Fixed Deposit,2026-07-27,11607.05,Active,0.085,0
A0000317,C000743,P011,B0032,Credit Card,2024-10-22,-22696.58,Active,0.205,42000.0
A0000318,C000179,P008,B0023,Fixed Deposit,2026-03-18,21463.31,Active,0.085,0
A0000319,C000234,P020,B0045,Current Account,2023-06-09,31402.83,Active,0.002,0
A0000320,C000303,P006,B0058,Savings,2026-03-07,84081.12,Active,0.062,5200.0
